algo,run_id,total_steps,hp_ent_coef,hp_gae_lambda,hp_gamma,hp_learning_rate,hp_n_envs,hp_n_steps,hp_seed,mean_reward,std_reward,success_rate,mean_final_health,water_used,mean_reward_stochastic,std_reward_stochastic,success_rate_stochastic,mean_final_health_stochastic,water_used_stochastic,episodes_to_converge
a2c,a2c_00,100000,0.01,1.0,0.99,0.0007,4,5,0,-19.148670110182472,1.7281601595777982,0.0,0.5251096099615097,0.89,-6.237834057780513,5.52332294929916,0.05,0.5432783931493759,0.9850000000000003,664
a2c,a2c_01,100000,0.05,1.0,0.99,0.0007,4,5,1,-19.332333462150224,1.7654040796332728,0.0,0.48778594434261324,0.9275000000000002,-3.239433988092111,2.7023255691778894,0.0,0.5461204722523689,0.8875000000000002,664
a2c,a2c_02,100000,0.0,1.0,0.99,0.0007,4,5,2,-11.682157913625224,2.4624097730330465,0.0,0.4719109132885933,0.20999999999999996,-5.9320983905709355,5.99495681326105,0.05,0.5306055083870888,0.6725000000000001,566
a2c,a2c_03,100000,0.01,1.0,0.99,0.0007,4,16,3,-17.504017667554088,2.1032318762564497,0.0,0.462558014690876,0.9200000000000002,-4.030145637447854,3.2953337177678548,0.0,0.5405338816344738,0.9000000000000001,3
a2c,a2c_04,100000,0.05,1.0,0.99,0.0007,4,16,4,-20.295997997161713,1.4541423298789722,0.0,0.4643937774002552,1.0000000000000002,-4.8385403895400465,3.4039734318604897,0.0,0.537541788816452,0.9775000000000003,407
a2c,a2c_05,100000,0.0,1.0,0.99,0.0007,4,16,5,-18.86990929706581,1.7472680650539583,0.0,0.4693273440003395,0.9675000000000002,-6.142869100130693,3.3686387588287734,0.0,0.5483503818511963,0.9175000000000002,2
a2c,a2c_06,100000,0.01,1.0,0.99,0.0003,4,5,6,-16.70469375842808,6.318275699465892,0.05,0.5066724598407746,0.7025,-5.648421863911487,3.7447474042824194,0.0,0.5696044430136681,0.8625000000000004,664
a2c,a2c_07,100000,0.05,1.0,0.99,0.0003,4,5,7,-20.685221642380682,1.0948991515747362,0.0,0.4821158543229103,0.6175000000000002,-5.457252568461622,2.959480840963586,0.0,0.5584509536623955,0.8450000000000001,664
a2c,a2c_08,100000,0.0,1.0,0.99,0.0003,4,5,8,-13.168796785364787,1.9782549577596023,0.0,0.4538954943418503,0.9850000000000001,-5.615120354009629,4.19340615590262,0.0,0.5452047109603881,0.8325000000000001,1
a2c,a2c_09,100000,0.01,1.0,0.99,0.0003,4,16,9,-19.102739788743506,2.216508231485741,0.0,0.45054119527339936,0.9150000000000003,-5.918248876738146,1.8573129558115047,0.0,0.5775255545973778,0.9850000000000001,2
