algo,run_id,total_steps,hp_batch_size,hp_ent_coef,hp_gae_lambda,hp_gamma,hp_learning_rate,hp_n_envs,hp_n_epochs,hp_n_steps,hp_seed,mean_reward,std_reward,success_rate,mean_final_health,water_used,mean_reward_stochastic,std_reward_stochastic,success_rate_stochastic,mean_final_health_stochastic,water_used_stochastic,episodes_to_converge
ppo,ppo_00,100000,64,0.01,0.95,0.99,0.0003,4,10,256,0,-13.831488106691802,3.253948496627665,0.0,0.4827201724052429,0.9475000000000001,-0.09644892734463165,4.230314572959628,0.0,0.5085207745432854,0.9975000000000003,391
ppo,ppo_01,100000,64,0.05,0.95,0.99,0.0003,4,10,256,1,-12.93316974135952,4.27544518086851,0.0,0.46983712911605835,0.9425000000000002,-0.9557268974044995,4.171023050737293,0.0,0.5144342005252838,1.0000000000000002,448
ppo,ppo_02,100000,64,0.0,0.95,0.99,0.0003,4,10,256,2,-11.276557754325754,3.6810173538131448,0.0,0.45048330947756765,0.8850000000000001,-0.24547554325492574,3.263174823509974,0.0,0.4941663384437561,0.9000000000000001,1
ppo,ppo_03,100000,64,0.01,0.95,0.99,0.0003,4,10,512,3,-12.536861036271798,3.5945678889745483,0.0,0.4803790867328644,0.8550000000000002,-0.8596511076756462,2.4697247605028534,0.0,0.5271482110023499,0.8300000000000003,407
ppo,ppo_04,100000,64,0.05,0.95,0.99,0.0003,4,10,512,4,-12.230820491576477,5.2561207774799925,0.0,0.4659189790487289,0.8950000000000002,0.16587931829662841,4.135023138811335,0.0,0.5325397416949272,0.9200000000000002,209
ppo,ppo_05,100000,64,0.0,0.95,0.99,0.0003,4,10,512,5,-12.613877348840088,3.9310496903386833,0.0,0.4553122065961361,0.7950000000000002,-1.0887422661199715,3.5214870896559947,0.0,0.4926705166697502,0.9625000000000001,1
ppo,ppo_06,100000,64,0.01,0.95,0.99,0.001,4,10,256,6,-13.348341190790203,3.173961385728881,0.0,0.45651610046625135,0.8650000000000002,-3.61363286767826,2.9138950675132174,0.0,0.5119037955999375,0.9350000000000002,262
ppo,ppo_07,100000,64,0.05,0.95,0.99,0.001,4,10,256,7,-12.127338906493641,2.7490929785010114,0.0,0.46213286370038986,0.38000000000000006,-2.747500984833888,3.6382696906501577,0.0,0.5316284313797951,0.7375,4
ppo,ppo_08,100000,64,0.0,0.95,0.99,0.001,4,10,256,8,-11.062845071319675,3.7281954639736385,0.0,0.44641818255186083,0.8175000000000002,-2.4610958478909586,3.8682686794929135,0.0,0.48906421661376953,0.9025000000000002,651
ppo,ppo_09,100000,64,0.01,0.95,0.99,0.001,4,10,512,9,-11.478468554954881,3.1684197404670886,0.0,0.47080315873026846,0.5350000000000001,0.6717499950083891,6.27430308009182,0.05,0.5470995977520943,0.8425,1
