run_id,hp_ent_coef,hp_gae_lambda,hp_gamma,hp_learning_rate,hp_n_envs,hp_n_steps,hp_seed,mean_reward,mean_reward_stochastic,success_rate,success_rate_stochastic,mean_final_health,episodes_to_converge
a2c_01,0.05,1.0,0.99,0.0007,4,5,1,-19.332333462150224,-3.239433988092111,0.0,0.0,0.4877859443426132,664
a2c_03,0.01,1.0,0.99,0.0007,4,16,3,-17.504017667554088,-4.030145637447854,0.0,0.0,0.462558014690876,3
a2c_04,0.05,1.0,0.99,0.0007,4,16,4,-20.295997997161713,-4.8385403895400465,0.0,0.0,0.4643937774002552,407
a2c_07,0.05,1.0,0.99,0.0003,4,5,7,-20.68522164238068,-5.457252568461622,0.0,0.0,0.4821158543229103,664
a2c_08,0.0,1.0,0.99,0.0003,4,5,8,-13.168796785364789,-5.615120354009629,0.0,0.0,0.4538954943418503,1
a2c_06,0.01,1.0,0.99,0.0003,4,5,6,-16.70469375842808,-5.648421863911487,0.05,0.0,0.5066724598407746,664
a2c_09,0.01,1.0,0.99,0.0003,4,16,9,-19.102739788743506,-5.918248876738146,0.0,0.0,0.4505411952733993,2
a2c_02,0.0,1.0,0.99,0.0007,4,5,2,-11.682157913625224,-5.9320983905709355,0.0,0.05,0.4719109132885933,566
a2c_05,0.0,1.0,0.99,0.0007,4,16,5,-18.86990929706581,-6.142869100130693,0.0,0.0,0.4693273440003395,2
a2c_00,0.01,1.0,0.99,0.0007,4,5,0,-19.148670110182472,-6.237834057780513,0.0,0.05,0.5251096099615097,664
