run_id,hp_batch_size,hp_buffer_size,hp_exploration_final_eps,hp_exploration_fraction,hp_gamma,hp_learning_rate,hp_learning_starts,hp_seed,hp_target_update_interval,hp_train_freq,mean_reward,mean_reward_stochastic,success_rate,success_rate_stochastic,mean_final_health,episodes_to_converge
dqn_07,64,50000,0.05,0.2,0.99,0.0005,1000,7,1000,4,-7.706168396277064,-7.583494634060033,0.0,0.0,0.4634507365524768,4
dqn_04,64,50000,0.05,0.1,0.98,0.0005,1000,4,1000,4,-9.56873690202151,-8.051702203330183,0.0,0.0,0.4671309716999531,2
dqn_06,64,50000,0.05,0.1,0.99,0.0005,1000,6,1000,4,-9.010587556263086,-8.959225026202896,0.0,0.0,0.4494364432990551,1
dqn_08,64,50000,0.05,0.1,0.98,0.0003,1000,8,1000,4,-9.58767053381516,-9.168680909094494,0.0,0.0,0.4728788904845714,1
dqn_09,64,50000,0.05,0.2,0.98,0.0003,1000,9,1000,4,-9.771278537546484,-9.33033576555,0.0,0.0,0.4550790019333363,4
dqn_01,64,50000,0.05,0.2,0.98,0.001,1000,1,1000,4,-9.812137911524344,-9.624086215632255,0.0,0.0,0.4438043519854545,1
dqn_00,64,50000,0.05,0.1,0.98,0.001,1000,0,1000,4,-10.576019998119907,-10.055618732934388,0.0,0.0,0.4662357777357101,1
dqn_02,64,50000,0.05,0.1,0.99,0.001,1000,2,1000,4,-11.0089922623101,-10.289176477338808,0.0,0.0,0.4393342405557632,1
dqn_05,64,50000,0.05,0.2,0.98,0.0005,1000,5,1000,4,-11.041267296624982,-10.537666456315428,0.0,0.0,0.4607544094324112,1
dqn_03,64,50000,0.05,0.2,0.99,0.001,1000,3,1000,4,-12.120246775345992,-11.171585264049606,0.0,0.0,0.4486363902688026,1
