run_id,hp_baseline,hp_ent_coef,hp_gamma,hp_hidden_sizes,hp_learning_rate,hp_seed,mean_reward,mean_reward_stochastic,success_rate,success_rate_stochastic,mean_final_health,episodes_to_converge
reinforce_06,none,0.01,0.99,"[128, 128]",0.0005,6,-16.28003613566986,-1.097524125804877,0.0,0.0,0.4391101598739624,1
reinforce_08,value,0.01,0.99,"[128, 128]",0.0005,8,-16.143647888412637,-1.8019081224979223,0.0,0.0,0.4526938557624816,1
reinforce_01,mean,0.01,0.99,"[128, 128]",0.001,1,-16.136756668871225,-3.2524778857355963,0.0,0.0,0.4526994869112968,667
reinforce_09,none,0.01,0.995,"[128, 128]",0.0005,9,-16.394082032259327,-3.359411497458537,0.0,0.0,0.4487433649599552,261
reinforce_03,none,0.01,0.995,"[128, 128]",0.001,3,-10.51664086959914,-3.3882974137176767,0.0,0.0,0.4482697837054729,1
reinforce_02,value,0.01,0.99,"[128, 128]",0.001,2,-13.312512887892344,-3.769636641847344,0.0,0.0,0.4490270085632801,1
reinforce_05,value,0.01,0.995,"[128, 128]",0.001,5,-17.550432176885675,-4.227223993392724,0.0,0.0,0.4500220887362957,667
reinforce_04,mean,0.01,0.995,"[128, 128]",0.001,4,-13.977048644012529,-5.578107265269695,0.0,0.0,0.4390916481614113,1
reinforce_07,mean,0.01,0.99,"[128, 128]",0.0005,7,-21.058825876538787,-7.560018588875484,0.0,0.0,0.4443626016378402,667
reinforce_00,none,0.01,0.99,"[128, 128]",0.001,0,-16.81386437015763,-16.66615251231523,0.0,0.0,0.4390647903084755,1
