run_id,hp_ent_coef,hp_gae_lambda,hp_gamma,hp_learning_rate,hp_n_envs,hp_n_steps,hp_seed,mean_reward,mean_reward_stochastic,success_rate,success_rate_stochastic,mean_final_health,episodes_to_converge
a2c_02,0.0,1.0,0.99,0.0007,4,5,2,-18.14757170990182,-0.0940667301012739,0.0,0.15,0.54901093095541,392
a2c_01,0.05,1.0,0.99,0.0007,4,5,1,-16.16853505945112,-1.9711463914977412,0.05,0.05,0.6278133079409599,541
a2c_00,0.01,1.0,0.99,0.0007,4,5,0,-24.04561022232587,-9.633248678375889,0.0,0.0,0.5341859981417656,471
a2c_06,0.01,1.0,0.99,0.0003,4,5,6,-28.51054287067273,-10.50840758077148,0.0,0.05,0.4656532973051071,5
a2c_04,0.05,1.0,0.99,0.0007,4,16,4,-29.27704429432132,-10.979122409222642,0.0,0.0,0.4919122867286205,561
a2c_05,0.0,1.0,0.99,0.0007,4,16,5,-31.38004727506284,-12.41907368450006,0.0,0.0,0.4807838626205921,11
a2c_08,0.0,1.0,0.99,0.0003,4,5,8,-30.89380181353733,-12.571965104780542,0.0,0.1,0.4727374494075775,664
a2c_09,0.01,1.0,0.99,0.0003,4,16,9,-34.6616128919154,-13.205388684549987,0.0,0.0,0.4502768263220787,664
a2c_07,0.05,1.0,0.99,0.0003,4,5,7,-29.28421181994358,-13.264371730437611,0.0,0.0,0.4992207020521164,463
a2c_03,0.01,1.0,0.99,0.0007,4,16,3,-29.156714803834255,-13.951478720203578,0.0,0.0,0.4739801093935966,235
