run_id,hp_batch_size,hp_buffer_size,hp_exploration_final_eps,hp_exploration_fraction,hp_gamma,hp_learning_rate,hp_learning_starts,hp_seed,hp_target_update_interval,hp_train_freq,mean_reward,mean_reward_stochastic,success_rate,success_rate_stochastic,mean_final_health,episodes_to_converge
dqn_04,64,50000,0.05,0.2,0.98,0.0005,1000,4,1000,4,-0.407263915303459,0.6909938079536424,0.25,0.3,0.7125597193837165,108
dqn_09,64,200000,0.05,0.2,0.98,0.0003,1000,9,1000,4,-3.5939430291458905,-2.9989427057606584,0.1,0.15,0.6919715255498886,331
dqn_08,64,50000,0.05,0.2,0.98,0.0003,1000,8,1000,4,-0.724287965444524,-3.3287841795423554,0.25,0.25,0.7219439670443535,310
dqn_05,64,200000,0.05,0.2,0.98,0.0005,1000,5,1000,4,-8.667820655757396,-5.770080149926875,0.0,0.05,0.6404767394065857,96
dqn_06,64,50000,0.05,0.2,0.99,0.0005,1000,6,1000,4,-5.525788489948016,-6.732491081900827,0.25,0.1,0.6709767207503319,342
dqn_00,64,50000,0.05,0.2,0.98,0.001,1000,0,1000,4,-9.426818710884575,-8.306712359794517,0.05,0.05,0.5928063109517098,666
dqn_01,64,200000,0.05,0.2,0.98,0.001,1000,1,1000,4,-10.008669164404264,-9.33532058849604,0.05,0.05,0.5707727164030075,642
dqn_07,64,200000,0.05,0.2,0.99,0.0005,1000,7,1000,4,-7.700789974320976,-9.34495234440658,0.0,0.05,0.6322693437337875,212
dqn_02,64,50000,0.05,0.2,0.99,0.001,1000,2,1000,4,-12.140995345248903,-13.346800193910791,0.0,0.0,0.522407128661871,63
dqn_03,64,200000,0.05,0.2,0.99,0.001,1000,3,1000,4,-18.229124246058284,-17.785496257105258,0.0,0.0,0.4938506424427032,2
