run_id,hp_batch_size,hp_ent_coef,hp_gae_lambda,hp_gamma,hp_learning_rate,hp_n_envs,hp_n_epochs,hp_n_steps,hp_seed,mean_reward,mean_reward_stochastic,success_rate,success_rate_stochastic,mean_final_health,episodes_to_converge
ppo_09,64,0.01,0.95,0.99,0.001,4,10,512,9,-11.47846855495488,0.6717499950083891,0.0,0.05,0.4708031587302684,1
ppo_04,64,0.05,0.95,0.99,0.0003,4,10,512,4,-12.230820491576477,0.1658793182966284,0.0,0.0,0.4659189790487289,209
ppo_00,64,0.01,0.95,0.99,0.0003,4,10,256,0,-13.831488106691802,-0.0964489273446316,0.0,0.0,0.4827201724052429,391
ppo_02,64,0.0,0.95,0.99,0.0003,4,10,256,2,-11.276557754325754,-0.2454755432549257,0.0,0.0,0.4504833094775676,1
ppo_03,64,0.01,0.95,0.99,0.0003,4,10,512,3,-12.536861036271798,-0.8596511076756462,0.0,0.0,0.4803790867328644,407
ppo_01,64,0.05,0.95,0.99,0.0003,4,10,256,1,-12.93316974135952,-0.9557268974044996,0.0,0.0,0.4698371291160583,448
ppo_05,64,0.0,0.95,0.99,0.0003,4,10,512,5,-12.613877348840088,-1.0887422661199715,0.0,0.0,0.4553122065961361,1
ppo_08,64,0.0,0.95,0.99,0.001,4,10,256,8,-11.062845071319677,-2.4610958478909586,0.0,0.0,0.4464181825518608,651
ppo_07,64,0.05,0.95,0.99,0.001,4,10,256,7,-12.12733890649364,-2.747500984833888,0.0,0.0,0.4621328637003898,4
ppo_06,64,0.01,0.95,0.99,0.001,4,10,256,6,-13.348341190790205,-3.61363286767826,0.0,0.0,0.4565161004662513,262
