run_id,hp_baseline,hp_ent_coef,hp_episodes_per_batch,hp_gamma,hp_hidden_sizes,hp_learning_rate,hp_max_grad_norm,hp_normalize_advantage,hp_seed,hp_value_epochs,hp_value_lr,mean_reward,mean_reward_stochastic,success_rate,success_rate_stochastic,mean_final_health,episodes_to_converge
reinforce_07,value,0.01,4,0.99,"[128, 128]",0.0005,0.5,True,7,5,0.003,-22.746333011806477,-6.39027475408526,0.0,0.0,0.4648086182773113,31
reinforce_06,value,0.01,2,0.99,"[128, 128]",0.0005,0.5,True,6,5,0.003,-23.861429671023625,-7.229703304551537,0.0,0.0,0.4648192733526229,416
reinforce_01,value,0.01,4,0.99,"[128, 128]",0.001,0.5,True,1,5,0.003,-21.613115585441356,-9.94287074144572,0.0,0.0,0.4843089915812015,544
reinforce_09,mean,0.01,4,0.99,"[128, 128]",0.0005,0.5,True,9,5,0.003,-25.803504348588916,-11.068706029875289,0.0,0.0,0.4786955326795578,538
reinforce_03,mean,0.01,4,0.99,"[128, 128]",0.001,0.5,True,3,5,0.003,-33.42026224531229,-11.95607809474567,0.0,0.0,0.4392012238502502,1667
reinforce_08,mean,0.01,2,0.99,"[128, 128]",0.0005,0.5,True,8,5,0.003,-28.28576648368591,-12.233505022263929,0.0,0.0,0.4687386833131313,2
reinforce_00,value,0.01,2,0.99,"[128, 128]",0.001,0.5,True,0,5,0.003,-27.64524353911591,-14.049850329747802,0.0,0.0,0.4533380433917046,289
reinforce_02,mean,0.01,2,0.99,"[128, 128]",0.001,0.5,True,2,5,0.003,-28.562921220585668,-14.696151031171278,0.0,0.0,0.4391451150178909,1667
reinforce_05,none,0.01,4,0.99,"[128, 128]",0.001,0.5,True,5,5,0.003,-24.666612891915506,-18.48531975142084,0.0,0.0,0.4502768263220787,1667
reinforce_04,none,0.01,2,0.99,"[128, 128]",0.001,0.5,True,4,5,0.003,-29.61055830700555,-19.451542806327332,0.0,0.0,0.4536488354206085,1667
