episode,total_timesteps,reward
1,600,-24.044
2,600,-21.9715
3,600,-12.0701
4,600,-25.157
5,1200,-33.2563
6,1200,-15.9031
7,1200,-13.6686
8,1200,-33.5158
9,1800,-21.6666
10,1800,-17.1461
11,1800,-10.2353
12,1800,-15.5207
13,2400,-0.8621
14,2400,-12.7901
15,2400,-20.939
16,2400,-10.9193
17,3000,-20.9245
18,3000,-3.4354
19,3000,-14.869
20,3000,-17.3049
21,3600,-22.2961
22,3600,-25.6635
23,3600,-21.6691
24,3600,-19.1332
25,4200,-23.5204
26,4200,-22.346
27,4200,-32.5681
28,4200,-27.7786
29,4800,-4.8436
30,4800,-16.6273
31,4800,-23.528
32,4800,-21.5118
33,5400,-27.4016
34,5400,-18.0602
35,5400,-14.6294
36,5400,-28.2584
37,6000,-10.4689
38,6000,-29.7
39,6000,-27.53
40,6000,-23.0144
41,6600,-24.7336
42,6600,-16.1308
43,6600,-12.4837
44,6600,-35.0603
45,7200,-17.7197
46,7200,-19.7127
47,7200,-22.8219
48,7200,-9.6588
49,7800,-16.2154
50,7800,-19.3462
51,7800,-13.6286
52,7800,-15.2617
53,8400,-5.7037
54,8400,-11.052
55,8400,-23.9637
56,8400,-23.178
57,9000,-24.0274
58,9000,-9.7594
59,9000,-21.8307
60,9000,-15.0019
61,9600,-25.6377
62,9600,-22.8923
63,9600,-24.4537
64,9600,-10.2371
65,10200,-6.838
66,10200,-18.7392
67,10200,-16.7842
68,10200,-12.859
69,10800,-30.0662
70,10800,-22.2563
71,10800,-13.5992
72,10800,-15.0854
73,11400,-23.0113
74,11400,-6.495
75,11400,-11.9585
76,11400,-26.8289
77,12000,-17.7602
78,12000,-28.4367
79,12000,-20.4202
80,12000,7.8394
81,12600,-18.9042
82,12600,-17.6417
83,12600,-17.6119
84,12600,-15.4495
85,13200,-20.0461
86,13200,-10.3107
87,13200,-19.5107
88,13200,-18.5007
89,13800,-1.2325
90,13800,-9.8829
91,13800,-15.3492
92,13800,-18.1548
93,14400,-22.9618
94,14400,-25.9903
95,14400,-20.7312
96,14400,-6.5967
97,15000,-18.5013
98,15000,-18.0643
99,15000,-15.5743
100,15000,-25.4217
101,15600,-27.2412
102,15600,-9.9036
103,15600,-15.5193
104,15600,-18.0393
105,16200,-16.6107
106,16200,-17.0828
107,16200,-9.9971
108,16200,-20.8525
109,16800,-21.8321
110,16800,-3.7742
111,16800,-6.8323
112,16800,-15.2802
113,17400,-6.834
114,17400,-15.559
115,17400,-23.1883
116,17400,-18.393
117,18000,-19.2641
118,18000,-12.8768
119,18000,-21.209
120,18000,-14.5183
121,18600,-9.7071
122,18600,7.4155
123,18600,-15.972
124,18600,-26.7458
125,19200,-17.9706
126,19200,-12.1898
127,19200,-12.5007
128,19200,-17.0671
129,19800,-18.1675
130,19800,-2.5874
131,19800,-7.2542
132,19800,-14.7996
133,20400,-16.2602
134,20400,-10.7369
135,20400,-20.6621
136,20400,-23.0129
137,21000,-13.821
138,21000,-22.7368
139,21000,-4.5975
140,21000,-15.1005
141,21600,-24.4319
142,21600,-21.9665
143,21600,-17.4446
144,21600,-22.6602
145,22200,-21.3092
146,22200,-7.1018
147,22200,-10.1663
148,22200,-13.6439
149,22800,-10.4622
150,22800,-12.4441
151,22800,-27.521
152,22800,-18.6102
153,23400,-26.879
154,23400,-3.9024
155,23400,-15.4682
156,23400,-22.4575
157,24000,-16.9473
158,24000,-27.411
159,24000,-14.9122
160,24000,-9.4915
161,24600,-24.1778
162,24600,-19.5715
163,24600,-25.2918
164,24600,-22.0226
165,25200,-19.4085
166,25200,-6.2563
167,25200,-5.6587
168,25200,-28.0171
169,25800,-20.6873
170,25800,-19.081
171,25800,-21.6768
172,25800,-9.6509
173,26400,-8.4657
174,26400,-14.2802
175,26400,-29.3813
176,26400,-25.465
177,27000,-30.6401
178,27000,-28.999
179,27000,-7.6015
180,27000,-8.8366
181,27600,-12.9361
182,27600,-16.6811
183,27600,-8.9881
184,27600,-9.6661
185,28200,-17.3656
186,28200,-27.6747
187,28200,-26.1631
188,28200,-23.6372
189,28800,-13.7019
190,28800,4.3936
191,28800,-10.0519
192,28800,-10.318
193,29400,-27.3817
194,29400,-20.4414
195,29400,-13.7301
196,29400,-17.132
197,30000,-14.2871
198,30000,-26.8253
199,30000,-24.0163
200,30000,-21.6989
201,30600,-18.5946
202,30600,-18.5285
203,30600,-19.5522
204,30600,-15.9873
205,31200,-21.1233
206,31200,-27.182
207,31200,-14.3335
208,31200,-11.7497
209,31800,-19.5068
210,31800,-17.9839
211,31800,-9.6495
212,31800,-5.1662
213,32400,-15.7721
214,32400,-19.3552
215,32400,-18.7774
216,32400,-4.919
217,33000,-11.2428
218,33000,-16.3223
219,33000,-7.3657
220,33000,-7.8667
221,33600,-18.184
222,33600,-16.844
223,33600,-21.1585
224,33600,-20.0066
225,34200,5.5905
226,34200,-11.6604
227,34200,-20.0857
228,34200,-15.7208
229,34800,-1.393
230,34800,-5.8675
231,34800,-4.984
232,34800,-17.5417
233,35400,-23.5481
234,35400,-13.8188
235,35400,-6.2375
236,35400,-19.8818
237,36000,-4.6307
238,36000,-15.1731
239,36000,-15.1939
240,36000,-25.4939
241,36600,-26.6412
242,36600,-20.7003
243,36600,-1.1157
244,36600,-11.717
245,37200,-13.2405
246,37200,-22.3361
247,37200,-18.7516
248,37200,-22.1685
249,37800,-19.2978
250,37800,-11.0687
251,37800,-27.9019
252,37800,-21.8001
253,38400,-13.7905
254,38400,-9.9514
255,38400,-5.0994
256,38400,-20.7312
257,39000,-17.9658
258,39000,-23.0763
259,39000,-17.1475
260,39000,-27.3831
261,39600,-4.8958
262,39600,-15.0639
263,39600,-10.8332
264,39600,-4.5476
265,40200,-22.5583
266,40200,-7.924
267,40200,-18.65
268,40200,-14.3782
269,40800,-18.6418
270,40800,-16.2591
271,40800,-12.5577
272,40800,-16.9716
273,41400,-15.9527
274,41400,-8.5197
275,41400,-16.9639
276,41400,-9.1148
277,42000,-14.9916
278,42000,-16.2585
279,42000,-4.5921
280,42000,-12.4702
281,42600,-19.3647
282,42600,-20.7515
283,42600,-25.8868
284,42600,-12.7517
285,43200,-16.3225
286,43200,-20.5442
287,43200,-19.0484
288,43200,-24.2993
289,43800,-9.0598
290,43800,-17.4355
291,43800,-13.8427
292,43800,-11.8158
293,44400,-16.83
294,44400,-17.0905
295,44400,-13.4552
296,44400,-24.9765
297,45000,-4.7251
298,45000,-22.5824
299,45000,-8.359
300,45000,-6.2939
301,45600,-23.0256
302,45600,-17.788
303,45600,-8.7198
304,45600,-19.9069
305,46200,-14.1951
306,46200,-2.1683
307,46200,-21.0174
308,46200,-29.1952
309,46800,-16.9394
310,46800,-15.1765
311,46800,-2.6322
312,46800,-12.913
313,47400,-10.6667
314,47400,-12.9311
315,47400,-3.1296
316,47400,2.9245
317,48000,-29.3741
318,48000,-26.3585
319,48000,-20.9435
320,48000,-4.0945
321,48600,-14.5968
322,48600,-8.9734
323,48600,-2.5027
324,48600,-22.0558
325,49200,-15.0101
326,49200,-4.8947
327,49200,-9.9588
328,49200,1.5614
329,49800,-10.6451
330,49800,1.144
331,49800,-24.8156
332,49800,-19.9206
333,50400,-18.7912
334,50400,-9.0675
335,50400,-8.2072
336,50400,-15.6937
337,51000,-5.0079
338,51000,-26.24
339,51000,-8.7227
340,51000,-19.178
341,51600,-18.2982
342,51600,-15.6709
343,51600,-20.8012
344,51600,-16.7847
345,52200,8.3735
346,52200,-9.195
347,52200,6.6135
348,52200,-6.9855
349,52800,-15.1337
350,52800,-9.9077
351,52800,-10.1975
352,52800,-16.1188
353,53400,-8.768
354,53400,-10.5192
355,53400,-19.1795
356,53400,-20.2806
357,54000,-6.8763
358,54000,-12.962
359,54000,11.495
360,54000,-19.5967
361,54600,5.2024
362,54600,-20.8757
363,54600,9.8999
364,54600,-16.2676
365,55200,-16.1256
366,55200,12.0567
367,55200,-17.8918
368,55200,-13.9578
369,55800,-13.9788
370,55800,-7.8167
371,55800,16.0246
372,55800,-20.7387
373,56400,-4.4878
374,56400,-7.9069
375,56400,-20.6321
376,56400,-0.1277
377,57000,-11.2968
378,57000,2.1303
379,57000,10.0202
380,57000,-11.5297
381,57600,-7.9338
382,57600,-2.4594
383,57600,-9.8283
384,57600,-24.503
385,58200,-11.8394
386,58200,-13.5241
387,58200,-10.2401
388,58200,-8.7123
389,58800,0.3077
390,58800,-16.5386
391,58800,-12.9222
392,58800,-1.4562
393,59400,-9.0335
394,59400,-21.0482
395,59400,-4.6849
396,59400,-16.9646
397,60000,-10.8546
398,60000,-12.2112
399,60000,-16.4979
400,60000,-8.1848
401,60600,-17.1434
402,60600,-8.2494
403,60600,-10.3195
404,60600,-24.5317
405,61200,-16.7164
406,61200,-22.2402
407,61200,-21.7695
408,61200,-15.9596
409,61800,2.2044
410,61800,3.291
411,61800,-13.9932
412,61800,-23.8984
413,62400,14.9655
414,62400,1.7365
415,62400,-11.212
416,62400,1.6869
417,63000,-27.219
418,63000,-12.3323
419,63000,-4.2526
420,63000,4.7973
421,63600,-12.5269
422,63600,-22.4833
423,63600,-20.532
424,63600,-13.8694
425,64200,-7.0803
426,64200,-3.0692
427,64200,-6.8854
428,64200,-11.3667
429,64800,-6.5633
430,64800,-17.4976
431,64800,-22.3605
432,64800,-7.9238
433,65400,-6.0776
434,65400,-8.8027
435,65400,-7.6729
436,65400,-2.8438
437,66000,14.84
438,66000,-10.3644
439,66000,-3.6047
440,66000,11.7295
441,66600,0.6654
442,66600,-2.603
443,66600,3.168
444,66600,-10.7849
445,67200,-17.9358
446,67200,-15.2725
447,67200,-9.4467
448,67200,-20.7309
449,67800,-5.1189
450,67800,-1.2609
451,67800,-21.642
452,67800,5.5108
453,68400,1.3148
454,68400,-15.8856
455,68400,-3.2424
456,68400,-11.6541
457,69000,-20.9588
458,69000,-10.0348
459,69000,-18.6479
460,69000,-17.2416
461,69600,-16.7204
462,69600,8.4343
463,69600,-6.054
464,69600,-7.5723
465,70200,-8.2477
466,70200,-4.6397
467,70200,13.846
468,70200,-2.8533
469,70800,7.6594
470,70800,9.8013
471,70800,-3.2641
472,70800,-17.0789
