episode,total_timesteps,reward
1,150,-26.2123
2,300,-3.7494
3,450,-14.5951
4,600,-18.7903
5,750,-9.6578
6,900,-9.4504
7,1050,-21.0717
8,1200,-15.1941
9,1350,-22.2514
10,1500,-15.3916
11,1650,-18.9324
12,1800,-6.564
13,1950,-11.182
14,2100,-14.8931
15,2250,-29.6223
16,2400,-18.5457
17,2550,-19.77
18,2700,-1.1993
19,2850,-4.3825
20,3000,-14.968
21,3150,-26.2306
22,3300,-16.7244
23,3450,-4.1674
24,3600,-8.7605
25,3750,-11.3551
26,3900,-11.3534
27,4050,-11.078
28,4200,-2.6902
29,4350,-13.8674
30,4500,-8.0923
31,4650,-18.6959
32,4800,-16.0319
33,4950,-10.5228
34,5100,-11.6567
35,5250,-5.6021
36,5400,-7.5938
37,5550,-9.5761
38,5700,-17.3138
39,5850,-22.3386
40,6000,-6.8863
41,6150,-11.7395
42,6300,-10.4051
43,6450,-17.5555
44,6600,-17.0765
45,6750,-9.2066
46,6900,-10.1039
47,7050,-13.8778
48,7200,-6.5541
49,7350,-13.084
50,7500,-6.5719
51,7650,-13.2664
52,7800,-9.0328
53,7950,-18.1278
54,8100,-6.8033
55,8250,1.1076
56,8400,-13.962
57,8550,-16.3481
58,8700,-15.0647
59,8850,-5.2657
60,9000,-8.072
61,9150,-4.4827
62,9300,-10.5906
63,9450,-21.932
64,9600,-6.6057
65,9750,-4.6098
66,9900,3.8685
67,10050,-11.8106
68,10200,-9.8338
69,10350,-11.2077
70,10500,-7.4785
71,10650,-14.272
72,10800,-7.743
73,10950,-14.2098
74,11100,-3.8711
75,11250,-25.2568
76,11400,-7.8756
77,11550,-13.4263
78,11700,-0.2122
79,11850,4.4436
80,12000,-20.3645
81,12150,-7.4135
82,12300,-3.9474
83,12450,-9.0603
84,12600,1.1219
85,12750,-11.0455
86,12900,-12.6937
87,13050,-12.2515
88,13200,-5.8082
89,13350,-3.9419
90,13500,-6.7551
91,13650,2.3454
92,13800,-7.0989
93,13950,0.6058
94,14100,-11.685
95,14250,-9.7745
96,14400,0.38
97,14550,-5.3199
98,14700,-10.1473
99,14850,-4.0402
100,15000,-7.2554
101,15150,-7.8784
102,15300,-8.411
103,15450,-6.0458
104,15600,-4.2476
105,15750,-7.9346
106,15900,-7.419
107,16050,-4.4437
108,16200,-17.3309
109,16350,-18.3183
110,16500,-5.582
111,16650,-2.3353
112,16800,-17.801
113,16950,-12.7142
114,17100,6.5139
115,17250,-8.1097
116,17400,-8.6714
117,17550,0.6192
118,17700,-9.7277
119,17850,-12.1048
120,18000,-15.9088
121,18150,-1.1552
122,18300,-8.8497
123,18450,-11.3559
124,18600,-5.2437
125,18750,-5.3467
126,18900,-1.8819
127,19050,3.4267
128,19200,-5.4678
129,19350,-1.942
130,19500,1.9684
131,19650,-8.5022
132,19800,-20.4864
133,19950,-17.9221
134,20100,1.9692
135,20250,-9.7897
136,20400,-12.8417
137,20550,-14.3703
138,20700,-9.8145
139,20850,-6.0408
140,21000,-1.3864
141,21150,-0.4913
142,21300,1.4348
143,21450,-8.1884
144,21600,-11.1176
145,21750,-9.0897
146,21900,-4.7835
147,22050,-3.5811
148,22200,-12.3827
149,22350,0.1978
150,22500,-13.2223
151,22650,-1.767
152,22800,-5.5824
153,22950,-5.7599
154,23100,-17.5223
155,23250,-18.571
156,23400,-5.0536
157,23550,-5.2298
158,23700,-6.3359
159,23850,1.2663
160,24000,-1.4693
161,24150,-7.5875
162,24300,-9.8535
163,24450,-15.7525
164,24600,-2.5848
165,24750,-19.2039
166,24900,-14.4822
167,25050,-5.1586
168,25200,-8.11
169,25350,-6.6862
170,25500,-9.7315
171,25650,6.1944
172,25800,-17.6948
173,25950,-2.471
174,26100,-7.241
175,26250,-7.7067
176,26400,-10.4451
177,26550,0.1448
178,26700,-17.8362
179,26850,-4.8389
180,27000,-9.4534
181,27150,-1.1084
182,27300,-2.8857
183,27450,-11.6012
184,27600,-16.7823
185,27750,12.037
186,27900,-2.6592
187,28050,-10.8461
188,28200,0.1234
189,28350,-12.513
190,28500,-14.1124
191,28650,-11.7879
192,28800,5.786
193,28950,-4.5411
194,29100,17.5749
195,29250,15.4605
196,29400,1.2671
197,29550,-23.6203
198,29700,-12.1616
199,29850,7.2359
200,30000,-0.4826
201,30150,-14.9342
202,30300,-0.4584
203,30450,-6.7407
204,30600,12.8486
205,30750,6.2851
206,30900,13.3851
207,31050,-12.0857
208,31200,-13.31
209,31350,-15.1673
210,31500,-1.8121
211,31650,-13.0158
212,31800,-10.35
213,31950,-11.6576
214,32100,-14.4209
215,32250,-3.5384
216,32400,-9.4451
217,32550,-3.8071
218,32700,-9.2459
219,32850,-12.5616
220,33000,-16.1428
221,33150,1.0407
222,33300,-3.2253
223,33450,2.048
224,33600,4.804
225,33750,-1.2812
226,33900,-7.7506
227,34050,-3.3337
228,34200,1.3927
229,34350,-3.2325
230,34500,0.0126
231,34650,-16.2027
232,34800,-5.7239
233,34950,-5.4613
234,35100,-7.465
235,35250,2.952
236,35400,-16.2313
237,35550,-5.5038
238,35700,-4.0712
239,35850,-3.6589
240,36000,0.243
241,36150,-6.4337
242,36300,-14.8802
243,36450,-18.9545
244,36600,2.9098
245,36750,5.5105
246,36900,-18.4816
247,37050,-8.045
248,37200,7.0702
249,37350,-11.5029
250,37500,1.5252
251,37650,7.4546
252,37800,-2.3629
253,37950,-17.3054
254,38100,-12.2524
255,38250,-0.9183
256,38400,-5.3311
257,38550,0.7972
258,38700,1.9365
259,38850,-12.5054
