episode,total_timesteps,reward
1,600,-22.158
2,600,-21.0634
3,600,-17.0277
4,600,-15.4639
5,1200,-9.057
6,1200,-15.7317
7,1200,-24.4282
8,1200,-13.3599
9,1800,-14.3642
10,1800,-19.1804
11,1800,-11.9801
12,1800,-13.4404
13,2400,-12.1377
14,2400,-8.5876
15,2400,-15.1958
16,2400,-10.3131
17,3000,-2.2258
18,3000,-3.2114
19,3000,-9.6322
20,3000,-9.7929
21,3600,-14.4882
22,3600,-13.2098
23,3600,-21.7771
24,3600,-11.4024
25,4200,-17.3472
26,4200,-19.0072
27,4200,-13.289
28,4200,-18.7077
29,4800,-8.8073
30,4800,-5.382
31,4800,-5.514
32,4800,-11.1278
33,5400,-13.73
34,5400,-10.599
35,5400,-20.9263
36,5400,-8.3093
37,6000,-18.9113
38,6000,-19.5468
39,6000,-22.5422
40,6000,-21.1856
41,6600,-12.3686
42,6600,-11.2491
43,6600,-26.112
44,6600,-15.2502
45,7200,-19.0892
46,7200,-4.3955
47,7200,-20.7357
48,7200,-17.1156
49,7800,-2.0274
50,7800,-14.7488
51,7800,-20.7827
52,7800,-4.9882
53,8400,-5.3352
54,8400,-18.6993
55,8400,-22.5848
56,8400,-8.6555
57,9000,9.7876
58,9000,-12.8464
59,9000,-15.5749
60,9000,-19.9655
61,9600,-18.6318
62,9600,-16.3947
63,9600,-15.2184
64,9600,-17.021
65,10200,-25.5539
66,10200,-22.3621
67,10200,-13.922
68,10200,-8.5452
69,10800,-13.9806
70,10800,-9.9347
71,10800,-16.7616
72,10800,-19.1592
73,11400,-11.6159
74,11400,-4.3989
75,11400,-25.2072
76,11400,-11.4071
77,12000,-9.504
78,12000,-13.2875
79,12000,-4.6524
80,12000,-7.5752
81,12600,-17.2333
82,12600,-15.2028
83,12600,-7.9412
84,12600,-12.1964
85,13200,1.7362
86,13200,-21.2797
87,13200,-14.8196
88,13200,-9.3235
89,13800,-3.1962
90,13800,-4.6099
91,13800,-2.9787
92,13800,-19.8971
93,14400,-14.3852
94,14400,-7.4653
95,14400,-7.0127
96,14400,-17.8498
97,15000,-21.8722
98,15000,-0.6183
99,15000,-10.2875
100,15000,-12.7457
101,15600,-15.4102
102,15600,-15.8104
103,15600,-15.5742
104,15600,-12.07
105,16200,-3.6805
106,16200,-12.5774
107,16200,-13.1894
108,16200,-23.8977
109,16800,-9.1416
110,16800,-2.4041
111,16800,-13.7147
112,16800,-22.1129
113,17400,2.6223
114,17400,-13.8517
115,17400,-7.1663
116,17400,-10.8071
117,18000,-8.2041
118,18000,-7.8918
119,18000,-11.4405
120,18000,-15.4287
121,18600,-3.9247
122,18600,-10.7785
123,18600,-8.6133
124,18600,-14.3445
125,19200,-30.4548
126,19200,-15.0061
127,19200,-3.193
128,19200,-14.9487
129,19800,-6.2332
130,19800,4.3513
131,19800,-0.7837
132,19800,-9.7496
133,20400,-13.4055
134,20400,-12.8691
135,20400,-12.2418
136,20400,-14.8667
137,21000,-13.8338
138,21000,-8.7322
139,21000,-13.7179
140,21000,-12.4822
141,21600,-16.5665
142,21600,-13.7314
143,21600,-10.2854
144,21600,6.446
145,22200,-4.4617
146,22200,-2.6345
147,22200,-11.1922
148,22200,-14.4312
149,22800,-2.8459
150,22800,-18.7811
151,22800,-8.6923
152,22800,-16.4579
153,23400,-6.3368
154,23400,-13.4664
155,23400,1.9325
156,23400,-14.9736
157,24000,-8.4654
158,24000,-2.9438
159,24000,-17.6877
160,24000,-5.3781
161,24600,-9.6073
162,24600,-8.4799
163,24600,-0.5797
164,24600,-23.5173
165,25200,0.4358
166,25200,3.224
167,25200,-7.1841
168,25200,-8.8018
169,25800,4.0043
170,25800,-19.3716
171,25800,-6.4579
172,25800,-2.7187
173,26400,-7.8233
174,26400,-1.4651
175,26400,-1.8634
176,26400,1.9506
177,27000,-15.4541
178,27000,-10.7392
179,27000,-17.1615
180,27000,-3.9479
181,27600,-0.7692
182,27600,-6.5432
183,27600,-15.3437
184,27600,-16.2664
185,28200,-2.311
186,28200,-22.1339
187,28200,-17.6843
188,28200,-12.161
189,28800,3.4509
190,28800,5.4318
191,28800,-3.3872
192,28800,-16.3556
193,29400,-12.7144
194,29400,-11.6546
195,29400,-14.2361
196,29400,-1.3355
197,30000,-13.5349
198,30000,-3.7362
199,30000,-11.9908
200,30000,-12.2575
201,30600,-2.1374
202,30600,-18.5554
203,30600,-27.4876
204,30600,2.5522
205,31200,-7.1387
206,31200,-0.4527
207,31200,-0.3569
208,31200,0.1416
209,31800,-11.5402
210,31800,-11.7287
211,31800,-4.3522
212,31800,-5.9541
213,32400,-4.8387
214,32400,2.8981
215,32400,-1.0863
216,32400,-19.228
217,33000,-10.8421
218,33000,13.769
219,33000,4.1453
220,33000,7.8706
221,33600,-9.2781
222,33600,-12.6044
223,33600,-1.3738
224,33600,-16.2774
225,34200,1.4131
226,34200,-5.3248
227,34200,-3.668
228,34200,11.1824
229,34800,6.4813
230,34800,-9.0238
231,34800,-7.8415
232,34800,-18.2234
233,35400,-27.5171
234,35400,5.0217
235,35400,-3.9914
236,35400,-14.1509
237,36000,-9.5077
238,36000,-12.5312
239,36000,-17.4585
240,36000,10.4807
241,36600,2.7019
242,36600,-3.1102
243,36600,-4.9318
244,36600,-1.5186
245,37200,-10.473
246,37200,-3.3129
247,37200,-11.5773
248,37200,-5.9275
249,37800,-11.12
250,37800,-17.027
251,37800,-15.8453
252,37800,-9.4254
253,38400,2.6302
254,38400,5.6071
255,38400,-18.4213
256,38400,-2.7533
257,39000,2.7713
258,39000,-3.2379
259,39000,-4.7784
260,39000,9.1458
261,39600,-14.5791
262,39600,-5.8436
263,39600,-16.4902
264,39600,-9.2647
265,40200,-0.0041
266,40200,-7.8241
267,40200,6.3793
268,40200,12.7995
269,40800,-5.99
270,40800,-5.2043
271,40800,-11.3788
272,40800,-6.4106
273,41400,-10.5047
274,41400,-10.1399
275,41400,14.5683
276,41400,-11.5253
277,42000,-6.157
278,42000,10.5783
279,42000,-13.6461
280,42000,5.1831
281,42600,-24.1652
282,42600,-0.2369
283,42600,-0.2984
284,42600,-6.2196
285,43200,-22.6973
286,43200,6.1283
287,43200,-10.6187
288,43200,-8.5962
289,43800,-13.1344
290,43800,0.1219
291,43800,-0.9734
292,43800,-10.7527
293,44400,2.6392
294,44400,6.4188
295,44400,-24.5378
296,44400,-6.1629
297,45000,-28.1326
298,45000,-11.182
299,45000,-1.9385
300,45000,-7.1267
301,45600,-2.0319
302,45600,-1.4745
303,45600,-5.4408
304,45600,-4.4098
305,46200,14.2851
306,46200,-12.5516
307,46200,12.628
308,46200,2.9113
309,46800,0.6021
310,46800,2.1676
311,46800,-1.4907
312,46800,-4.068
313,47400,-10.6871
314,47400,-2.9545
315,47400,-2.3054
316,47400,-12.4835
317,48000,-11.3499
318,48000,-6.0242
319,48000,0.6761
320,48000,-22.8782
321,48600,8.8881
322,48600,9.2343
323,48600,-10.7985
324,48600,-2.0931
325,49200,16.8932
326,49200,12.6907
327,49200,13.9078
328,49200,2.3803
329,49800,10.169
330,49800,-5.1266
331,49800,-6.5793
332,49800,0.7534
333,50400,-5.6636
334,50400,6.6222
335,50400,-18.0493
336,50400,-8.8505
337,51000,-19.8842
338,51000,-8.5009
339,51000,-14.163
340,51000,-0.4147
341,51600,-6.852
342,51600,-14.2699
343,51600,2.3881
344,51600,-11.2162
345,52200,-5.8193
346,52200,-3.6297
347,52200,-5.1172
348,52200,-8.2083
349,52800,4.0711
350,52800,-7.2486
351,52800,11.1631
352,52800,3.769
353,53400,-9.9738
354,53400,4.7527
355,53400,-21.2653
356,53400,-18.2863
357,54000,-0.5102
358,54000,3.8967
359,54000,-1.8028
360,54000,-14.7499
361,54600,-13.0125
362,54600,4.2775
363,54600,-4.3604
364,54600,-1.4285
365,55200,-4.2553
366,55200,-12.7336
367,55200,2.321
368,55200,3.5213
369,55800,-3.8489
370,55800,16.0569
371,55800,-9.963
372,55800,1.3265
373,56400,0.6264
374,56400,-0.7272
375,56400,6.3551
376,56400,-7.331
377,57000,-3.7749
378,57000,-7.3545
379,57000,0.0333
380,57000,5.81
381,57600,-1.094
382,57600,15.442
383,57600,-18.3788
384,57600,-9.6391
385,58200,-18.715
386,58200,-12.0707
387,58200,-5.2747
388,58200,12.6973
389,58800,16.9515
390,58800,-12.6442
391,58800,2.9061
392,58800,0.8917
393,59400,0.374
394,59400,-2.3632
395,59400,-3.7832
396,59400,-17.7203
397,60000,18.7361
398,60000,10.4817
399,60000,-17.9166
400,60000,5.7591
401,60600,-7.9891
402,60600,5.4055
403,60600,-9.3631
404,60600,-11.7166
405,61200,-16.6111
406,61200,-7.0241
407,61200,1.5949
408,61200,10.0608
409,61800,9.7515
410,61800,-5.4735
411,61800,-21.0038
412,61800,-16.2841
413,62400,-3.932
414,62400,3.4314
415,62400,-1.9102
416,62400,0.8337
417,63000,2.3286
418,63000,10.2311
419,63000,-0.3719
420,63000,8.7893
421,63600,10.6375
422,63600,-4.1796
423,63600,-0.8588
424,63600,-14.6376
425,64200,6.7449
426,64200,5.7648
427,64200,7.1387
428,64200,13.4718
429,64800,-6.3082
430,64800,6.6659
431,64800,-4.9095
432,64800,2.2528
433,65400,3.5308
434,65400,-15.688
435,65400,11.6163
436,65400,18.5439
437,66000,-10.2832
438,66000,16.4641
439,66000,2.0654
440,66000,-2.9294
441,66600,0.4349
442,66600,12.8104
443,66600,-2.9555
444,66600,3.634
445,67200,-3.1771
446,67200,-6.1039
447,67200,-1.5722
448,67200,-11.2025
449,67800,16.1224
450,67800,-14.7445
451,67800,-1.8393
452,67800,1.8804
453,68400,-5.5248
454,68400,5.7066
455,68400,-5.7563
456,68400,-7.8189
457,69000,-6.7158
458,69000,-15.2522
459,69000,-15.0585
460,69000,-2.4278
461,69600,-3.3543
462,69600,1.7825
463,69600,9.7322
464,69600,11.3061
465,70200,-0.2123
466,70200,12.2714
467,70200,-4.8969
468,70200,-14.6299
469,70800,6.5151
470,70800,-9.7296
471,70800,-1.3403
472,70800,-0.4593
473,71400,-3.1578
474,71400,-10.2992
475,71400,-9.4659
476,71400,-3.0536
477,72000,-16.339
478,72000,-0.8143
479,72000,-3.6116
480,72000,5.2975
481,72600,-13.631
482,72600,-12.7735
483,72600,-1.3129
484,72600,-10.6677
485,73200,-0.2596
486,73200,-13.5326
487,73200,1.2346
488,73200,-0.9261
489,73800,-3.7787
490,73800,-10.9838
491,73800,-25.6138
492,73800,-13.7614
493,74400,-4.7197
494,74400,1.4047
495,74400,-2.7366
496,74400,-10.1145
497,75000,3.7824
498,75000,-13.3355
499,75000,5.393
500,75000,16.5536
501,75600,-5.1787
502,75600,-3.4546
503,75600,-2.0074
504,75600,-8.1905
505,76200,0.8766
506,76200,13.9345
507,76200,-4.688
508,76200,-0.4627
509,76800,-7.0865
510,76800,-0.6327
511,76800,-7.1244
512,76800,-7.9051
513,77400,-0.9563
514,77400,-8.8258
515,77400,12.1039
516,77400,-0.0859
517,78000,-3.2655
518,78000,3.8827
519,78000,-22.9148
520,78000,-9.3566
521,78600,-2.252
522,78600,-9.5194
523,78600,11.2538
524,78600,4.7582
525,79200,-11.2344
526,79200,-3.5225
527,79200,11.6187
528,79200,3.3709
529,79800,-8.8531
530,79800,5.2987
531,79800,-6.1529
532,79800,-3.4876
533,80400,-8.2504
534,80400,2.8903
535,80400,14.0941
536,80400,5.121
537,81000,-1.1927
538,81000,-9.9272
539,81000,1.3126
540,81000,-0.1638
541,81600,-13.131
542,81600,4.6567
543,81600,5.6159
544,81600,-6.2516
545,82200,3.556
546,82200,-3.2857
547,82200,17.2923
548,82200,-11.3884
549,82800,-8.6211
550,82800,-6.1782
551,82800,4.3313
552,82800,-4.8331
553,83400,5.6501
554,83400,1.6752
555,83400,-7.6939
556,83400,-10.5689
557,84000,-12.1025
558,84000,-0.4051
559,84000,-2.9733
560,84000,7.8294
561,84600,-5.4992
562,84600,12.897
563,84600,6.1007
564,84600,-2.5917
565,85200,-2.057
566,85200,13.0152
567,85200,0.6761
568,85200,-3.7352
569,85800,0.4361
570,85800,15.6849
571,85800,-6.3166
572,85800,-6.415
573,86400,5.0627
574,86400,1.0461
575,86400,0.3645
576,86400,9.4568
577,87000,-0.8195
578,87000,0.9023
579,87000,12.9617
580,87000,-1.7927
581,87600,-0.5272
582,87600,3.9044
583,87600,3.8907
584,87600,-1.3532
585,88200,-14.6393
586,88200,9.7056
587,88200,0.2088
588,88200,-5.0005
589,88800,-2.6096
590,88800,-4.4606
591,88800,-2.5687
592,88800,8.6865
593,89400,3.1818
594,89400,12.3263
595,89400,0.5835
596,89400,-8.4132
597,90000,2.5565
598,90000,-9.0216
599,90000,3.2063
600,90000,16.1769
601,90600,6.6364
602,90600,12.825
603,90600,13.3654
604,90600,-5.8241
605,91200,5.1813
606,91200,11.3531
607,91200,7.3966
608,91200,3.9496
609,91800,-1.8609
610,91800,8.3485
611,91800,3.8213
612,91800,7.7006
613,92400,-9.2084
614,92400,-2.4056
615,92400,-3.8527
616,92400,-1.2178
617,93000,-8.2083
