time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/entropy_loss,train/policy_loss,train/explained_variance,train/value_loss,train/learning_rate,train/n_updates,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean
20,8996,0,1,,,,,,,,,
40,6247,0,2,-2.1972203254699707,-1.127801537513733,0.33795708417892456,0.32487982511520386,0.0007,1,,,
60,6846,0,3,-2.1807332038879395,-0.8900009393692017,0.212111234664917,0.20880670845508575,0.0007,2,,,
80,7211,0,4,-2.184664249420166,-0.7855278253555298,0.014495432376861572,0.16248734295368195,0.0007,3,,,
100,7486,0,5,-2.1899304389953613,-0.7589205503463745,0.026681900024414062,0.14062364399433136,0.0007,4,,,
120,7762,0,6,-2.160252094268799,-0.7126025557518005,-0.005232691764831543,0.13093456625938416,0.0007,5,,,
140,8007,0,7,-2.1472153663635254,-0.7190473675727844,0.013828754425048828,0.16417737305164337,0.0007,6,,,
160,8228,0,8,-2.1821937561035156,-0.8396042585372925,0.04051029682159424,0.18346183001995087,0.0007,7,,,
180,8369,0,9,-2.186398983001709,-0.8385152816772461,0.029996812343597412,0.1798829883337021,0.0007,8,,,
200,8379,0,10,-2.1799206733703613,-0.8370970487594604,0.029132544994354248,0.16969312727451324,0.0007,9,,,
220,8458,0,11,-2.1617484092712402,-0.8846912384033203,0.02239668369293213,0.1968378871679306,0.0007,10,,,
240,8578,0,12,-2.1551220417022705,-0.8305231928825378,0.03791171312332153,0.1763848513364792,0.0007,11,,,
260,8700,0,13,-2.1452178955078125,-0.7325402498245239,0.05492311716079712,0.14926090836524963,0.0007,12,,,
280,8811,0,14,-2.151960849761963,-0.6218214631080627,0.022510051727294922,0.10629980266094208,0.0007,13,,,
300,8912,0,15,-2.1526405811309814,-0.6190981864929199,0.004888951778411865,0.09881258010864258,0.0007,14,,,
320,9006,0,16,-2.131906032562256,-0.4725913405418396,0.013675332069396973,0.06108003854751587,0.0007,15,,,
340,9078,0,17,-2.109168529510498,-0.32296591997146606,0.004965722560882568,0.02628430165350437,0.0007,16,,,
360,9123,0,18,-2.030235767364502,-0.11820562183856964,0.02560514211654663,0.00391507800668478,0.0007,17,,,
380,9120,0,19,-1.9491279125213623,-0.11009716987609863,-0.04430592060089111,0.004328124225139618,0.0007,18,,,
400,9135,0,20,-1.9199920892715454,-0.008744652383029461,0.008190691471099854,0.00046533631393685937,0.0007,19,,,
420,9178,0,21,-1.9220596551895142,0.004308606497943401,-0.2505068778991699,4.646447632694617e-05,0.0007,20,,,
440,9216,0,22,-1.921054482460022,0.013010816648602486,-0.19839096069335938,0.00013800842862110585,0.0007,21,,,
460,9233,0,23,-1.9322874546051025,0.0073752254247665405,-0.0032606124877929688,0.001169396797195077,0.0007,22,,,
480,9266,0,24,-1.9338843822479248,0.012291857972741127,-0.00906825065612793,0.001777448458597064,0.0007,23,,,
500,9279,0,25,-1.9042164087295532,0.051135946065187454,0.06071823835372925,0.0020711116958409548,0.0007,24,,,
520,9311,0,26,-1.9802711009979248,0.07935841381549835,0.0338057279586792,0.0037752215284854174,0.0007,25,,,
540,9347,0,27,-2.030377149581909,0.16312137246131897,-0.03212165832519531,0.008382740430533886,0.0007,26,,,
560,9337,0,28,-2.069187879562378,0.21772494912147522,-0.017481684684753418,0.01177517045289278,0.0007,27,,,
580,9354,0,29,-2.1294403076171875,0.1685730665922165,-0.03160452842712402,0.008751485496759415,0.0007,28,,,
600,9365,0,30,-2.131481647491455,0.16805164515972137,0.021900713443756104,0.008321746252477169,0.0007,29,,,
620,9387,0,31,-2.16046404838562,0.1922660619020462,-0.0021077394485473633,0.009458312764763832,0.0007,30,,,
640,9410,0,32,-2.149449110031128,0.11294841766357422,0.08325636386871338,0.00675515690818429,0.0007,31,,,
660,9433,0,33,-2.1494381427764893,0.10564212501049042,0.3122132420539856,0.003956692758947611,0.0007,32,,,
680,9450,0,34,-2.1648378372192383,0.16506817936897278,0.1805155873298645,0.00698308739811182,0.0007,33,,,
700,9470,0,35,-2.1629505157470703,-0.03326522931456566,0.15653663873672485,0.008160984143614769,0.0007,34,,,
720,9493,0,36,-2.165358781814575,0.09603036940097809,-0.03094029426574707,0.005319835618138313,0.0007,35,,,
740,9513,0,37,-2.1568667888641357,0.05319042131304741,0.07719910144805908,0.0028886739164590836,0.0007,36,,,
760,9532,0,38,-2.1428062915802,-0.029371608048677444,-0.029810428619384766,0.005527542904019356,0.0007,37,,,
780,9555,0,39,-2.132042646408081,0.017694097012281418,-0.10476970672607422,0.005363169126212597,0.0007,38,,,
800,9541,0,40,-2.1013076305389404,0.07619152963161469,-0.08149516582489014,0.0032377310562878847,0.0007,39,0.0,-23.519950750000003,200.0
