episode,total_timesteps,reward
1,200,-24.331
2,400,-23.1689
3,600,-22.899
4,800,-24.2413
5,1000,-24.3988
6,1200,-25.2068
7,1400,-27.1446
8,1600,-24.4126
9,1800,-24.004
10,2000,-24.6211
11,2191,-26.522
12,2391,-27.1076
13,2591,-23.2567
14,2791,-24.7108
15,2991,-23.6636
16,3185,-25.6231
17,3385,-24.625
18,3585,-23.5727
19,3785,-24.0818
20,3985,-23.4875
21,4185,-25.1142
22,4385,-23.1255
23,4585,-22.6942
24,4785,-26.1658
25,4985,-23.7898
26,4200,-24.1486
27,4400,-24.061
28,4600,-23.4073
29,4800,-22.5356
30,5000,-24.2033
