episode,total_timesteps,reward
1,200,-25.5494
2,400,-24.0859
3,600,-22.6407
4,800,-22.7658
5,1000,-23.7951
6,1200,-22.947
7,1400,-23.5556
8,1600,-23.0747
9,1800,-23.3741
10,2000,-23.3115
11,2200,-23.5295
12,2400,-23.4903
13,2600,-23.0826
14,2800,-23.264
15,3000,-22.6837
16,3200,-23.0216
17,3400,-23.2591
18,3600,-22.8627
19,3800,-22.5802
20,4000,-22.8368
21,4200,-23.0982
22,4400,-23.4002
23,4600,-23.1501
24,4800,-23.1245
25,5000,-23.3964
1,2200,-23.9377
2,2400,-23.0226
3,2600,-22.6611
4,2800,-22.5119
5,3000,-24.3113
6,3200,-23.382
7,3400,-23.6125
8,3600,-23.0464
9,3800,-23.3996
10,4000,-23.4191
11,4200,-23.3513
12,4400,-23.5791
13,4600,-23.0771
14,4800,-23.0152
15,5000,-22.5885
