time/total_timesteps,rollout/ep_rew_mean,train/entropy,train/policy_loss,train/value_loss
200,-25.5494,2.1896,-14.0364,55.049
400,-24.8176,2.19,-11.9126,42.634
600,-24.092,2.1735,-9.7651,34.6004
800,-23.7604,2.1467,-8.9182,31.6507
1000,-23.7674,2.1142,-8.2851,31.7934
1200,-23.6306,2.0871,-6.3156,24.2239
1400,-23.6199,2.0559,-5.1933,22.9106
1600,-23.5517,2.0311,-3.8621,19.7634
1800,-23.532,2.027,-3.2339,18.3554
2000,-23.51,2.005,-2.3593,17.7275
2200,-23.5117,1.9726,-1.7098,16.6954
2400,-23.51,1.9402,-1.092,16.6413
2600,-23.4771,1.8764,-0.2408,15.0282
2800,-23.4619,1.8132,0.2742,14.5564
3000,-23.41,1.7802,0.6465,14.4939
3200,-23.3857,1.7612,0.9461,14.5375
3400,-23.3783,1.742,0.8424,14.7242
3600,-23.3496,1.726,0.9458,14.3582
3800,-23.3091,1.7162,1.4758,14.4694
4000,-23.2855,1.7305,0.9289,14.2537
4200,-23.2766,1.7113,1.7395,14.7873
4400,-23.2822,1.7403,1.0361,14.2486
4600,-23.2765,1.7731,0.7355,13.1236
4800,-23.2701,1.7946,0.9766,13.1732
5000,-23.2752,1.8163,0.6008,13.332
2200,-23.9377,1.9758,-2.2096,17.5245
2400,-23.4801,1.9468,-0.7021,14.9852
2600,-23.2071,1.9148,-0.5955,14.998
2800,-23.0333,1.858,0.4443,14.5689
3000,-23.2889,1.8363,-0.4703,17.1328
3200,-23.3044,1.785,0.5382,15.6367
3400,-23.3484,1.7251,0.904,15.4804
3600,-23.3107,1.6623,1.3451,15.2608
3800,-23.3206,1.6346,0.8164,15.2275
4000,-23.3304,1.5892,1.1788,15.6817
4200,-23.3323,1.5636,0.716,15.5836
4400,-23.3529,1.5444,0.2431,15.9455
4600,-23.3317,1.477,0.4633,13.8791
4800,-23.3091,1.4306,0.7222,13.4801
5000,-23.261,1.4008,0.1869,12.9194
