time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/value_loss,train/learning_rate,train/entropy_loss,train/n_updates,train/policy_loss,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean
64,0,4206,1,,,,,,,,,
128,0,4136,2,0.047580838203430176,0.329897940158844,0.0007,-2.197218179702759,1,-1.035428762435913,,,
192,0,4777,3,0.2111697793006897,0.593231737613678,0.0007,-2.181947946548462,2,-0.3361680805683136,,,
256,0,5306,4,0.19651615619659424,1.0961272716522217,0.0007,-2.181447982788086,3,-1.408445119857788,,,
320,0,5725,5,0.2591869831085205,1.540254831314087,0.0007,-2.184725761413574,4,-0.5702622532844543,,,
384,0,5882,6,0.5119995474815369,1.87115478515625,0.0007,-2.187300682067871,5,-2.0892553329467773,,,
448,0,6135,7,0.2568212151527405,2.046276569366455,0.0007,-2.1829044818878174,6,-1.6777499914169312,,,
512,0,6379,8,0.3278053402900696,2.83784556388855,0.0007,-2.1895217895507812,7,-2.965268135070801,,,
576,0,6597,9,0.0793524980545044,1.4249629974365234,0.0007,-2.1931302547454834,8,-1.5960988998413086,,,
640,0,6716,10,0.005390942096710205,0.8894001245498657,0.0007,-2.189772129058838,9,-1.2370518445968628,-17.7794855,0.0,150.0
704,0,6813,11,0.03532510995864868,0.8689401149749756,0.0007,-2.187592029571533,10,1.020942211151123,-17.7794855,0.0,150.0
768,0,6961,12,0.036027610301971436,0.6420818567276001,0.0007,-2.1903185844421387,11,-0.0012664198875427246,-17.7794855,0.0,150.0
832,0,7096,13,0.18768513202667236,0.35506853461265564,0.0007,-2.1905620098114014,12,-0.49485665559768677,-17.7794855,0.0,150.0
896,0,7216,14,0.16117185354232788,0.8993200063705444,0.0007,-2.185675621032715,13,-1.7050844430923462,-17.7794855,0.0,150.0
960,0,7318,15,0.008301794528961182,0.968393087387085,0.0007,-2.183306932449341,14,-1.3618171215057373,-17.7794855,0.0,150.0
1024,0,7423,16,0.16968142986297607,0.6387444734573364,0.0007,-2.182093381881714,15,-0.8692623376846313,-17.7794855,0.0,150.0
1088,0,7439,17,0.1419162154197693,0.8600596785545349,0.0007,-2.180990695953369,16,-0.27216097712516785,-17.7794855,0.0,150.0
1152,0,7497,18,0.05835312604904175,0.7788896560668945,0.0007,-2.153026580810547,17,-1.4457311630249023,-17.7794855,0.0,150.0
1216,0,7555,19,0.06682455539703369,2.1321232318878174,0.0007,-2.1594085693359375,18,0.8879129886627197,-17.06456,0.0,150.0
1280,0,7620,20,0.2536012530326843,0.5399738550186157,0.0007,-2.1491847038269043,19,-0.2723749876022339,-17.06456,0.0,150.0
1344,0,7695,21,0.028218865394592285,1.424484372138977,0.0007,-2.137814998626709,20,1.9492881298065186,-17.06456,0.0,150.0
