episode,total_timesteps,reward
1,600,-11.6716
2,600,-17.5833
3,600,-14.4651
4,600,-22.1486
5,1200,-17.2932
6,1200,-10.1759
7,1200,-9.2274
8,1200,-30.487
9,1800,-15.5171
10,1800,-19.0273
11,1800,-15.6024
12,1800,-12.5343
13,2400,-16.2841
14,2400,-17.6209
15,2400,-14.5246
16,2400,-12.3905
17,3000,-13.7891
18,3000,-6.1775
19,3000,-18.5307
20,3000,-17.7902
21,3600,-26.8075
22,3600,-13.2211
23,3600,-19.8872
24,3600,-16.0077
25,4200,-11.3563
26,4200,-24.0317
27,4200,-19.0402
28,4200,-11.6907
29,4800,-19.8179
30,4800,-13.8379
31,4800,-27.6141
32,4800,-8.2165
33,5400,-2.2272
34,5400,-8.9158
35,5400,-15.7165
36,5400,-17.6953
37,6000,-19.9377
38,6000,-14.854
39,6000,-16.5083
40,6000,-17.2872
41,6600,-7.0353
42,6600,-14.8846
43,6600,-30.2403
44,6600,-34.3272
45,7200,-20.0813
46,7200,-10.6641
47,7200,-21.1407
48,7200,-9.9899
49,7800,-26.9151
50,7800,-20.3508
51,7800,-8.432
52,7800,-12.8096
53,8400,-22.2638
54,8400,-26.621
55,8400,-15.9881
56,8400,-27.7751
57,9000,-23.4957
58,9000,-12.0465
59,9000,-23.3644
60,9000,-23.7113
61,9600,-19.8025
62,9600,-15.1178
63,9600,-16.2552
64,9600,-21.878
65,10200,-21.9024
66,10200,-20.5785
67,10200,-28.3029
68,10200,-14.8252
69,10800,-21.7378
70,10800,-12.0821
71,10800,-22.4058
72,10800,-9.7796
73,11400,-25.6755
74,11400,-6.4136
75,11400,-12.2749
76,11400,-19.1131
77,12000,-2.8684
78,12000,-22.0116
79,12000,-11.5165
80,12000,-16.2584
81,12600,-20.6363
82,12600,-19.5306
83,12600,-21.4187
84,12600,-6.0084
85,13200,-6.0637
86,13200,-9.8002
87,13200,-24.4351
88,13200,-16.0085
89,13800,-24.3226
90,13800,-24.1434
91,13800,-18.6495
92,13800,-7.5335
93,14400,-15.9881
94,14400,-20.41
95,14400,-17.2024
96,14400,-15.231
97,15000,-10.8098
98,15000,-16.3796
99,15000,-15.9496
100,15000,-24.601
101,15600,-12.0694
102,15600,-15.0594
103,15600,-13.6452
104,15600,-4.9335
105,16200,-17.9248
106,16200,-3.5481
107,16200,-11.4069
108,16200,-20.975
109,16800,6.7715
110,16800,-11.5048
111,16800,-11.5446
112,16800,-12.6504
113,17400,-26.4299
114,17400,-21.7661
115,17400,-15.5552
116,17400,-6.4873
117,18000,-19.904
118,18000,-7.1577
119,18000,-20.6545
120,18000,-24.846
121,18600,-23.1822
122,18600,-14.9614
123,18600,-26.774
124,18600,-14.5191
125,19200,-14.5854
126,19200,-23.4826
127,19200,-5.1973
128,19200,-10.7954
129,19800,-29.14
130,19800,-6.811
131,19800,-17.5133
132,19800,-16.8358
133,20400,-24.2261
134,20400,-15.8979
135,20400,-4.8779
136,20400,-5.0584
137,21000,-13.7787
138,21000,-25.4844
139,21000,-6.7451
140,21000,-26.5156
141,21600,-31.1821
142,21600,-25.1313
143,21600,-8.3775
144,21600,-2.7027
145,22200,-16.4234
146,22200,-19.2501
147,22200,-6.4792
148,22200,-12.4143
149,22800,-17.3228
150,22800,-17.3081
151,22800,-17.2031
152,22800,-25.5324
153,23400,-20.3229
154,23400,-14.092
155,23400,-20.7309
156,23400,-7.2822
157,24000,-21.3885
158,24000,-26.0467
159,24000,-25.1326
160,24000,-11.7999
161,24600,-16.3283
162,24600,-13.83
163,24600,-18.6304
164,24600,-22.7034
165,25200,-22.5602
166,25200,-23.781
167,25200,-24.8196
168,25200,-21.665
169,25800,-31.4838
170,25800,-19.2352
171,25800,-18.3099
172,25800,-27.6405
173,26400,-10.4409
174,26400,-21.0629
175,26400,-17.4995
176,26400,-10.3835
177,27000,-18.6627
178,27000,-15.9654
179,27000,-15.6399
180,27000,-14.2744
181,27600,-19.3417
182,27600,-12.1812
183,27600,-26.7067
184,27600,-17.1163
185,28200,-22.1602
186,28200,-9.2448
187,28200,-20.3638
188,28200,-25.169
189,28800,-22.2374
190,28800,-4.1887
191,28800,-17.3567
192,28800,-24.3093
193,29400,-26.8112
194,29400,-8.3344
195,29400,-5.2237
196,29400,-16.216
197,30000,-10.5871
198,30000,-17.1619
199,30000,-5.5438
200,30000,-10.2497
201,30600,-15.8647
202,30600,-15.9889
203,30600,-20.2016
204,30600,-23.9861
205,31200,-22.6514
206,31200,-14.828
207,31200,-29.3215
208,31200,-28.3197
209,31800,-22.9213
210,31800,-13.1164
211,31800,-6.1238
212,31800,-21.9502
213,32400,-14.027
214,32400,-14.8433
215,32400,-17.0015
216,32400,-24.7102
217,33000,-18.9289
218,33000,-21.1899
219,33000,-23.5553
220,33000,-15.1588
221,33600,-11.7084
222,33600,-0.9186
223,33600,-17.8037
224,33600,-19.978
225,34200,-24.3092
226,34200,-8.8444
227,34200,-21.3517
228,34200,-23.9186
229,34800,-20.6395
230,34800,-0.1965
231,34800,-21.399
232,34800,-23.768
233,35400,8.2371
234,35400,-20.9205
235,35400,-20.2453
236,35400,-15.9507
237,36000,-13.4894
238,36000,-15.7796
239,36000,-12.5781
240,36000,-11.2809
241,36600,-17.65
242,36600,-9.3924
243,36600,-15.7504
244,36600,-16.4543
245,37200,-7.281
246,37200,-12.2841
247,37200,-6.675
248,37200,-1.8348
249,37800,-19.4246
250,37800,-9.0749
251,37800,-12.6813
252,37800,-13.3132
253,38400,-24.8952
254,38400,-15.725
255,38400,-2.5887
256,38400,-22.9987
257,39000,-4.0727
258,39000,-15.1221
259,39000,-13.1241
260,39000,-23.0579
261,39600,-17.1282
262,39600,-12.468
263,39600,-2.0007
264,39600,-17.5996
265,40200,-11.715
266,40200,-4.1797
267,40200,-3.4786
268,40200,-6.6576
269,40800,-27.6761
270,40800,-16.3312
271,40800,-24.7668
272,40800,-11.8347
273,41400,-20.5286
274,41400,-9.7235
275,41400,-21.8652
276,41400,-11.6076
277,42000,1.612
278,42000,-21.7678
279,42000,-21.0716
280,42000,-15.0131
281,42600,-17.6625
282,42600,-7.1363
283,42600,-8.7265
284,42600,-3.1355
285,43200,-10.3404
286,43200,-7.9463
287,43200,-9.8088
288,43200,-7.4756
289,43800,-9.7315
290,43800,-4.8892
291,43800,-4.986
292,43800,-20.271
293,44400,-10.3782
294,44400,-15.1312
295,44400,-13.879
296,44400,-8.7649
297,45000,-2.9931
298,45000,-8.3715
299,45000,-15.6176
300,45000,-17.0563
301,45600,-17.0289
302,45600,-20.8087
303,45600,-0.4568
304,45600,-28.0858
305,46200,-4.6236
306,46200,-19.6419
307,46200,-14.8265
308,46200,-20.0952
309,46800,-11.8604
310,46800,-8.3246
311,46800,-17.6422
312,46800,-16.5578
313,47400,-9.2504
314,47400,-8.8592
315,47400,-0.263
316,47400,-11.8947
317,48000,-6.8074
318,48000,-10.5614
319,48000,-15.9483
320,48000,-23.6394
321,48600,-4.9986
322,48600,-3.847
323,48600,-5.8058
324,48600,-8.4819
325,49200,-24.8947
326,49200,-5.1057
327,49200,-20.6943
328,49200,-2.2538
329,49800,-22.2323
330,49800,-15.2026
331,49800,-11.8878
332,49800,-17.7622
333,50400,-23.0008
334,50400,-24.0135
335,50400,-10.8548
336,50400,-26.6787
337,51000,-26.1755
338,51000,-10.7666
339,51000,-25.2831
340,51000,-14.1623
341,51600,-7.282
342,51600,-12.61
343,51600,-21.0442
344,51600,-13.8952
345,52200,-21.2477
346,52200,-18.7767
347,52200,-14.3378
348,52200,-24.2607
349,52800,-17.0189
350,52800,-18.9416
351,52800,-21.628
352,52800,-3.1094
353,53400,-3.2326
354,53400,-0.4407
355,53400,-23.579
356,53400,-18.5954
357,54000,-11.2379
358,54000,3.7687
359,54000,-8.4943
360,54000,-24.9548
361,54600,-19.7839
362,54600,-17.4814
363,54600,-14.4009
364,54600,-5.7001
365,55200,-6.1359
366,55200,-21.0631
367,55200,-16.5287
368,55200,-11.4884
369,55800,-12.6904
370,55800,-16.2875
371,55800,-26.1204
372,55800,-12.8077
