time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/policy_loss,train/entropy_loss,train/explained_variance,train/value_loss,train/learning_rate,train/n_updates,rollout/success_rate,rollout/ep_len_mean,rollout/ep_rew_mean
1,1781,20,0,,,,,,,,,
2,1841,40,0,0.051687903702259064,-2.1972107887268066,0.6989905834197998,0.004494172520935535,0.0003,1,,,
3,2370,60,0,-0.03101835586130619,-2.1938083171844482,0.4872857332229614,0.02224064990878105,0.0003,2,,,
4,2822,80,0,-0.003515481948852539,-2.191572666168213,-0.2297050952911377,0.0605945959687233,0.0003,3,,,
5,3216,100,0,-0.580569863319397,-2.1913561820983887,0.5873793363571167,0.09042996168136597,0.0003,4,,,
6,3511,120,0,-0.23618276417255402,-2.1877176761627197,0.5459948182106018,0.03535016253590584,0.0003,5,,,
7,3775,140,0,-0.425290048122406,-2.188565969467163,0.4504193067550659,0.15105465054512024,0.0003,6,,,
8,3999,160,0,-0.3682958781719208,-2.1908812522888184,0.6033204793930054,0.11064837872982025,0.0003,7,,,
9,4157,180,0,-0.646205723285675,-2.188021183013916,0.4784494638442993,0.22555136680603027,0.0003,8,,,
10,4275,200,0,-0.05283621698617935,-2.187486171722412,-0.12002813816070557,0.6041702032089233,0.0003,9,,,
11,4445,220,0,-0.8197005987167358,-2.1892642974853516,0.6009212732315063,0.23717696964740753,0.0003,10,,,
12,4550,240,0,-1.0292577743530273,-2.1892735958099365,0.5247358083724976,0.3628019690513611,0.0003,11,,,
13,4632,260,0,-0.9968976974487305,-2.190790891647339,0.37723273038864136,0.4366823136806488,0.0003,12,,,
14,4686,280,0,-1.1632486581802368,-2.192328929901123,0.4745003581047058,0.43816083669662476,0.0003,13,,,
15,4715,300,0,-0.7874510288238525,-2.192354917526245,0.4574039578437805,0.39862269163131714,0.0003,14,,,
16,4798,320,0,-0.9231829643249512,-2.1916511058807373,0.6157505512237549,0.3069595396518707,0.0003,15,,,
17,4811,340,0,-1.0307711362838745,-2.1909496784210205,0.4851781129837036,0.44262051582336426,0.0003,16,,,
18,4880,360,0,-1.0557835102081299,-2.191009521484375,0.5584114789962769,0.36862820386886597,0.0003,17,,,
19,4965,380,0,-0.5894430875778198,-2.1903064250946045,0.33015263080596924,0.305787593126297,0.0003,18,,,
20,5051,400,0,-0.6617003083229065,-2.1906890869140625,0.3134084939956665,0.2335226833820343,0.0003,19,,,
21,5094,420,0,-0.9374288320541382,-2.190451145172119,0.18939250707626343,0.35109543800354004,0.0003,20,,,
22,5140,440,0,-0.3085682988166809,-2.189887285232544,0.02110236883163452,0.43719202280044556,0.0003,21,,,
23,5209,460,0,-0.9483616948127747,-2.1892025470733643,0.5691930055618286,0.27402210235595703,0.0003,22,,,
24,5276,480,0,-0.30756428837776184,-2.19018292427063,0.18120980262756348,0.44220227003097534,0.0003,23,,,
25,5327,500,0,0.4920932650566101,-2.1864657402038574,0.07476156949996948,0.6928903460502625,0.0003,24,,,
26,5388,520,0,0.004108580760657787,-2.1798789501190186,0.38447296619415283,0.49555158615112305,0.0003,25,,,
27,5420,540,0,-1.0162492990493774,-2.171438694000244,0.7001584768295288,0.26431354880332947,0.0003,26,,,
28,5470,560,0,-0.44029441475868225,-2.169424057006836,-0.07830405235290527,0.3683965802192688,0.0003,27,,,
29,5502,580,0,-0.5998097658157349,-2.154385805130005,0.1389474868774414,0.5478265285491943,0.0003,28,,,
30,5522,600,0,-0.4316771626472473,-2.151944160461426,-0.17570090293884277,0.4361204504966736,0.0003,29,0.0,150.0,-16.467131249999998
31,5564,620,0,-0.5783470869064331,-2.152571201324463,0.47853904962539673,0.20587682723999023,0.0003,30,0.0,150.0,-16.467131249999998
32,5599,640,0,0.4943920075893402,-2.158226728439331,0.34287911653518677,0.10984423011541367,0.0003,31,0.0,150.0,-16.467131249999998
33,5631,660,0,0.24449224770069122,-2.161830186843872,0.7266465425491333,0.01917649433016777,0.0003,32,0.0,150.0,-16.467131249999998
34,5675,680,0,0.587591290473938,-2.165591239929199,0.3672574758529663,0.23994474112987518,0.0003,33,0.0,150.0,-16.467131249999998
35,5712,700,0,0.06602509319782257,-2.160996913909912,0.7080850601196289,0.036989547312259674,0.0003,34,0.0,150.0,-16.467131249999998
36,5753,720,0,-0.004685196094214916,-2.1670877933502197,0.926055371761322,0.007850250229239464,0.0003,35,0.0,150.0,-16.467131249999998
37,5794,740,0,-0.10817547142505646,-2.1684839725494385,0.8739947080612183,0.020920347422361374,0.0003,36,0.0,150.0,-16.467131249999998
38,5819,760,0,-0.002437001559883356,-2.1665985584259033,0.7172545194625854,0.0557953342795372,0.0003,37,0.0,150.0,-16.467131249999998
39,5845,780,0,-0.1300692856311798,-2.171204090118408,0.8684194684028625,0.03193474933505058,0.0003,38,0.0,150.0,-16.467131249999998
40,5861,800,0,-0.35518744587898254,-2.175692081451416,0.8317636847496033,0.07994597405195236,0.0003,39,0.0,150.0,-16.467131249999998
41,5889,820,0,-0.26792091131210327,-2.1778128147125244,0.8595040440559387,0.06755544245243073,0.0003,40,0.0,150.0,-16.467131249999998
42,5904,840,0,-0.18732836842536926,-2.183945894241333,0.7061319351196289,0.12901052832603455,0.0003,41,0.0,150.0,-16.467131249999998
43,5923,860,0,0.09800226241350174,-2.1756038665771484,0.7806034684181213,0.050540465861558914,0.0003,42,0.0,150.0,-16.467131249999998
44,5952,880,0,-0.04788332059979439,-2.169839382171631,0.628945529460907,0.1597999781370163,0.0003,43,0.0,150.0,-16.467131249999998
45,5984,900,0,-0.5529035329818726,-2.1595752239227295,0.7876245379447937,0.1866827756166458,0.0003,44,0.0,150.0,-16.467131249999998
46,5999,920,0,-0.37762752175331116,-2.154539108276367,0.6841347217559814,0.2122940719127655,0.0003,45,0.0,150.0,-16.467131249999998
47,6012,940,0,-0.6348167657852173,-2.1481330394744873,0.7868360877037048,0.19373752176761627,0.0003,46,0.0,150.0,-16.467131249999998
48,6036,960,0,-0.42066630721092224,-2.1470305919647217,0.7559034824371338,0.1714668720960617,0.0003,47,0.0,150.0,-16.467131249999998
49,6048,980,0,-0.3563981354236603,-2.1522459983825684,0.5104762315750122,0.456146240234375,0.0003,48,0.0,150.0,-16.467131249999998
50,6067,1000,0,-0.35352158546447754,-2.144019603729248,0.47406476736068726,0.41315215826034546,0.0003,49,0.0,150.0,-16.467131249999998
51,6084,1020,0,-0.6854795813560486,-2.142045021057129,0.7070281505584717,0.29267749190330505,0.0003,50,0.0,150.0,-16.467131249999998
52,6093,1040,0,-0.6930593252182007,-2.143179416656494,0.693244218826294,0.26436537504196167,0.0003,51,0.0,150.0,-16.467131249999998
53,6099,1060,0,-0.7126891016960144,-2.140477418899536,0.6902257204055786,0.2626672685146332,0.0003,52,0.0,150.0,-16.467131249999998
54,6107,1080,0,-0.9077781438827515,-2.1349849700927734,0.7147098779678345,0.29449695348739624,0.0003,53,0.0,150.0,-16.467131249999998
55,6133,1100,0,-1.0084197521209717,-2.134639024734497,0.6642400026321411,0.3684847354888916,0.0003,54,0.0,150.0,-16.467131249999998
56,6155,1120,0,-0.8542379140853882,-2.135031223297119,0.5619031190872192,0.22869956493377686,0.0003,55,0.0,150.0,-16.467131249999998
57,6178,1140,0,-1.1818302869796753,-2.1341052055358887,0.509219765663147,0.41637253761291504,0.0003,56,0.0,150.0,-16.467131249999998
58,6200,1160,0,-0.9503805041313171,-2.134798765182495,0.45963937044143677,0.3060760498046875,0.0003,57,0.0,150.0,-16.467131249999998
59,6215,1180,0,-0.566633939743042,-2.1377921104431152,0.1464805006980896,0.5275272130966187,0.0003,58,0.0,150.0,-16.467131249999998
60,6220,1200,0,-1.0333402156829834,-2.1295559406280518,0.3741636276245117,0.29850882291793823,0.0003,59,0.0,150.0,-16.63150425
61,6236,1220,0,-1.1696782112121582,-2.1296820640563965,0.2825995087623596,0.3957918584346771,0.0003,60,0.0,150.0,-16.63150425
62,6254,1240,0,0.5390777587890625,-2.1454484462738037,0.41258400678634644,0.08877364546060562,0.0003,61,0.0,150.0,-16.63150425
63,6271,1260,0,0.2825501561164856,-2.1407177448272705,0.41750049591064453,0.02997254952788353,0.0003,62,0.0,150.0,-16.63150425
64,6276,1280,0,0.21574023365974426,-2.1451385021209717,0.7767210006713867,0.020570268854498863,0.0003,63,0.0,150.0,-16.63150425
65,6295,1300,0,0.20991282165050507,-2.150437116622925,0.6411879062652588,0.085142120718956,0.0003,64,0.0,150.0,-16.63150425
66,6314,1320,0,0.31042394042015076,-2.1419525146484375,0.7021967172622681,0.05460084602236748,0.0003,65,0.0,150.0,-16.63150425
67,6334,1340,0,0.12910863757133484,-2.1467678546905518,0.7064195871353149,0.07856370508670807,0.0003,66,0.0,150.0,-16.63150425
68,6351,1360,0,-0.08750388771295547,-2.1352193355560303,0.9601339101791382,0.008066738955676556,0.0003,67,0.0,150.0,-16.63150425
69,6356,1380,0,0.00804082490503788,-2.1344428062438965,0.9497238993644714,0.00915216188877821,0.0003,68,0.0,150.0,-16.63150425
70,6374,1400,0,0.12524297833442688,-2.136579990386963,0.847772479057312,0.05932095646858215,0.0003,69,0.0,150.0,-16.63150425
71,6380,1420,0,-0.12981650233268738,-2.1325533390045166,0.9534707069396973,0.01730111986398697,0.0003,70,0.0,150.0,-16.63150425
72,6395,1440,0,-0.0581306517124176,-2.1393063068389893,0.9469873905181885,0.012186199426651001,0.0003,71,0.0,150.0,-16.63150425
73,6382,1460,0,1.1425622701644897,-2.1420154571533203,0.4927465319633484,0.905431866645813,0.0003,72,0.0,150.0,-16.63150425
74,6386,1480,0,0.026440272107720375,-2.139803647994995,0.8681342005729675,0.047162510454654694,0.0003,73,0.0,150.0,-16.63150425
75,6397,1500,0,0.02014610543847084,-2.142488956451416,0.8842362761497498,0.04673517867922783,0.0003,74,0.0,150.0,-16.63150425
76,6410,1520,0,-0.18327471613883972,-2.150350570678711,0.8862044811248779,0.032459430396556854,0.0003,75,0.0,150.0,-16.63150425
77,6413,1540,0,-0.3954614996910095,-2.154548168182373,0.7654525637626648,0.06486795842647552,0.0003,76,0.0,150.0,-16.63150425
78,6426,1560,0,-0.3703804314136505,-2.150334119796753,-0.723812460899353,0.1034427285194397,0.0003,77,0.0,150.0,-16.63150425
79,6437,1580,0,-0.37185442447662354,-2.1498918533325195,0.2758905291557312,0.057955849915742874,0.0003,78,0.0,150.0,-16.63150425
80,6447,1600,0,-0.39092496037483215,-2.152148485183716,0.14293396472930908,0.11687769740819931,0.0003,79,0.0,150.0,-16.63150425
81,6460,1620,0,-0.7024248838424683,-2.151078701019287,-0.12191486358642578,0.16037198901176453,0.0003,80,0.0,150.0,-16.63150425
82,6466,1640,0,-0.9503480792045593,-2.153378963470459,-0.060181379318237305,0.24268591403961182,0.0003,81,0.0,150.0,-16.63150425
83,6474,1660,0,-0.7483163475990295,-2.1531739234924316,-0.028054237365722656,0.1967845857143402,0.0003,82,0.0,150.0,-16.63150425
84,6487,1680,0,-0.982397198677063,-2.1515769958496094,-0.1012810468673706,0.27125000953674316,0.0003,83,0.0,150.0,-16.63150425
85,6492,1700,0,-0.46205323934555054,-2.1481590270996094,0.18941307067871094,0.11419401317834854,0.0003,84,0.0,150.0,-16.63150425
86,6504,1720,0,-0.9950218200683594,-2.152409315109253,0.061999738216400146,0.3219164311885834,0.0003,85,0.0,150.0,-16.63150425
87,6516,1740,0,-0.9330889582633972,-2.1563162803649902,0.16246432065963745,0.28454580903053284,0.0003,86,0.0,150.0,-16.63150425
88,6530,1760,0,-1.0989011526107788,-2.158580780029297,0.055754780769348145,0.41137194633483887,0.0003,87,0.0,150.0,-16.63150425
89,6530,1780,0,-1.0363709926605225,-2.15946888923645,0.11990374326705933,0.29494112730026245,0.0003,88,0.0,150.0,-16.63150425
90,6524,1800,0,-0.8602673411369324,-2.1578803062438965,-0.0076787471771240234,0.3230251371860504,0.0003,89,0.0,150.0,-16.311093999999997
91,6535,1820,0,-0.787635326385498,-2.162468910217285,0.029358863830566406,0.25376251339912415,0.0003,90,0.0,150.0,-16.311093999999997
92,6546,1840,0,0.80438232421875,-2.1666100025177,0.4269777536392212,0.19756415486335754,0.0003,91,0.0,150.0,-16.311093999999997
93,6558,1860,0,0.8164885640144348,-2.167595624923706,0.42579591274261475,0.26259925961494446,0.0003,92,0.0,150.0,-16.311093999999997
