algo,run_id,total_steps,hp_ent_coef,hp_gae_lambda,hp_gamma,hp_learning_rate,hp_n_envs,hp_n_steps,hp_seed,mean_reward,std_reward,success_rate,mean_final_health,water_used,mean_reward_stochastic,std_reward_stochastic,success_rate_stochastic,mean_final_health_stochastic,water_used_stochastic,episodes_to_converge
a2c,a2c_00,100000,0.01,1.0,0.99,0.0007,4,5,0,-24.04561022232587,5.790285605328625,0.0,0.5341859981417656,0.1375,-9.633248678375889,7.986617950452138,0.0,0.6088825955986976,0.9975000000000002,471
a2c,a2c_01,100000,0.05,1.0,0.99,0.0007,4,5,1,-16.16853505945112,8.847760087895674,0.05,0.6278133079409599,0.20000000000000004,-1.9711463914977412,6.804657401797784,0.05,0.6584290415048599,0.8200000000000001,541
a2c,a2c_02,100000,0.0,1.0,0.99,0.0007,4,5,2,-18.14757170990182,8.978626226891123,0.0,0.54901093095541,0.29750000000000004,-0.09406673010127395,8.354392360019373,0.15,0.6999036520719528,0.6199999999999999,392
a2c,a2c_03,100000,0.01,1.0,0.99,0.0007,4,16,3,-29.156714803834255,6.721214362690445,0.0,0.47398010939359664,0.5525,-13.951478720203578,7.677202172049564,0.0,0.5477484598755836,1.0350000000000004,235
a2c,a2c_04,100000,0.05,1.0,0.99,0.0007,4,16,4,-29.27704429432132,8.017093873433506,0.0,0.49191228672862053,0.0,-10.979122409222642,8.457004884271042,0.0,0.575339162349701,0.8675000000000003,561
a2c,a2c_05,100000,0.0,1.0,0.99,0.0007,4,16,5,-31.38004727506284,7.254623165604247,0.0,0.48078386262059214,0.07499999999999998,-12.41907368450006,6.325121257572287,0.0,0.5760759294033051,0.9900000000000002,11
a2c,a2c_06,100000,0.01,1.0,0.99,0.0003,4,5,6,-28.51054287067273,5.592170805073588,0.0,0.46565329730510713,0.7325000000000002,-10.508407580771479,7.677580002823861,0.05,0.5760309815406799,0.9925000000000003,5
a2c,a2c_07,100000,0.05,1.0,0.99,0.0003,4,5,7,-29.28421181994358,8.201218806902567,0.0,0.4992207020521164,0.4125000000000001,-13.264371730437611,6.24867019730309,0.0,0.5879429370164871,1.0175000000000003,463
a2c,a2c_08,100000,0.0,1.0,0.99,0.0003,4,5,8,-30.89380181353733,6.44356118331974,0.0,0.4727374494075775,0.12500000000000003,-12.571965104780542,11.095577062371193,0.1,0.5982151031494141,1.0300000000000002,664
a2c,a2c_09,100000,0.01,1.0,0.99,0.0003,4,16,9,-34.6616128919154,5.80642716181612,0.0,0.4502768263220787,0.0,-13.205388684549987,6.598731207380677,0.0,0.551698037981987,0.9675,664
