episode,total_timesteps,reward
1,150,-8.2814
2,300,-24.6322
3,450,-18.365
4,600,-15.2064
5,750,-13.7425
6,900,-8.2906
7,1050,-22.4188
8,1200,-14.0606
9,1350,-18.867
10,1500,-7.6373
11,1650,-16.0406
12,1800,-7.4259
13,1950,-32.5274
14,2100,-16.7321
15,2250,-11.2099
16,2400,-11.5339
17,2550,-9.6702
18,2700,-20.7163
19,2850,-5.1519
20,3000,-19.4333
21,3150,-13.7408
22,3300,-12.9327
23,3450,-5.7899
24,3600,-24.1923
25,3750,-11.5765
26,3900,-2.7814
27,4050,-16.5847
28,4200,-20.1127
29,4350,-9.0743
30,4500,-9.1269
31,4650,-15.9152
32,4800,-4.4316
33,4950,-14.1177
34,5100,-21.2073
35,5250,-15.3986
36,5400,-15.9723
37,5550,-10.3288
38,5700,-4.3251
39,5850,-18.0437
40,6000,-18.718
41,6150,-16.8751
42,6300,-10.1399
43,6450,-3.8939
44,6600,-28.1141
45,6750,-2.9527
46,6900,-10.4386
47,7050,-16.1334
48,7200,-4.152
49,7350,-15.9694
50,7500,0.0111
51,7650,-16.4318
52,7800,-13.6848
53,7950,-15.9309
54,8100,-6.5691
55,8250,-6.3806
56,8400,-19.666
57,8550,4.2928
58,8700,8.2197
59,8850,-7.3459
60,9000,-21.936
61,9150,-16.2528
62,9300,-1.9815
63,9450,-16.5247
64,9600,-4.5274
65,9750,-20.8758
66,9900,-11.816
67,10050,-8.7908
68,10200,-20.5158
69,10350,-16.1099
70,10500,-16.6707
71,10650,-9.1003
72,10800,-23.3645
73,10950,-15.3824
74,11100,-3.017
75,11250,-14.2833
76,11400,-15.7606
77,11550,-23.1267
78,11700,6.9009
79,11850,-8.2728
80,12000,-0.0756
81,12150,-12.5596
82,12300,-22.2676
83,12450,-11.7147
84,12600,-4.9696
85,12750,-8.0929
86,12900,-33.7652
87,13050,-18.1961
88,13200,-9.4693
89,13350,8.6698
90,13500,-17.5113
91,13650,-15.8144
92,13800,-3.1851
93,13950,-33.4063
94,14100,-5.2766
95,14250,-21.2556
96,14400,-12.3176
97,14550,-23.1375
98,14700,-2.5841
99,14850,4.6587
100,15000,-22.9077
101,15150,-13.8663
102,15300,1.2462
103,15450,-21.9087
104,15600,-27.37
105,15750,-6.0406
106,15900,-19.8855
107,16050,-6.8419
108,16200,-9.8282
109,16350,-27.4297
110,16500,-16.7898
111,16650,-7.4654
112,16800,-23.5555
113,16950,-7.6869
114,17100,-13.9541
115,17250,-28.137
116,17400,-12.9503
117,17550,-23.4925
118,17700,-0.71
119,17850,-5.1725
120,18000,-28.8605
121,18150,-12.2197
122,18300,-35.3151
123,18450,-9.7667
124,18600,-16.5453
125,18750,-6.438
126,18900,-21.9171
127,19050,-11.8951
128,19200,-22.4603
129,19350,-8.2241
130,19500,8.4944
131,19650,-27.3095
132,19800,-4.9752
133,19950,-9.1631
134,20100,-6.7017
135,20250,-1.6288
136,20400,-13.1089
137,20550,-16.0162
138,20700,-14.7515
139,20850,-18.9466
140,21000,-10.9905
141,21150,-26.3234
142,21300,-10.891
143,21450,-31.7105
144,21600,-28.6464
145,21750,-21.8618
146,21900,-1.0964
147,22050,-3.5849
148,22200,5.3171
149,22350,-37.8041
150,22500,-2.1148
151,22650,-22.4185
152,22800,-4.3496
153,22950,-9.5148
154,23100,-20.6557
155,23250,-24.5902
156,23400,-24.2765
157,23550,-8.4806
158,23700,-24.3755
159,23850,-29.6513
160,24000,-22.891
161,24150,-23.2412
162,24300,-20.1105
163,24450,-9.9358
164,24600,-16.9828
165,24750,3.4224
166,24900,13.3937
167,25050,-4.8737
168,25200,-5.3679
169,25350,-2.9218
170,25500,-11.6527
171,25650,-16.5981
172,25800,-17.7512
173,25950,-20.3331
174,26100,-3.0889
175,26250,-11.1178
176,26400,-26.5387
177,26550,-20.6707
178,26700,2.4814
179,26850,-14.7625
180,27000,-8.1722
181,27150,-17.8221
182,27300,-13.4815
183,27450,-8.9473
184,27600,-6.7869
185,27750,-18.938
186,27900,-2.4704
187,28050,-15.0647
188,28200,-8.3441
189,28350,-1.6301
190,28500,-24.1561
191,28650,-9.0837
192,28800,-12.1879
193,28950,-23.4289
194,29100,-14.3916
195,29250,-13.5945
196,29400,-3.708
197,29550,-9.4346
198,29700,0.4589
199,29850,1.3451
200,30000,-4.616
201,30150,-14.7713
202,30300,-12.7084
203,30450,17.1867
204,30600,-1.4252
205,30750,-29.1782
206,30900,-5.5203
207,31050,-3.7507
208,31200,11.4669
209,31350,-17.9309
210,31500,-27.2148
211,31650,-18.8104
212,31800,-5.6463
213,31950,-7.8483
214,32100,7.9773
215,32250,-3.8373
216,32400,-23.4962
217,32550,-25.1939
218,32700,-7.2789
219,32850,-25.6144
220,33000,-20.951
221,33150,-21.2928
222,33300,7.3085
223,33450,-3.0652
224,33600,-12.6946
225,33750,-24.804
226,33900,-11.7724
227,34050,-23.8348
228,34200,-17.1658
229,34350,3.543
230,34500,-21.7477
231,34650,-22.4528
232,34800,-8.5807
233,34950,-7.3622
234,35100,-13.7212
235,35250,-2.2577
236,35400,-0.9551
237,35550,-14.0706
238,35700,-8.8776
239,35850,-8.0462
240,36000,-0.3883
241,36150,-14.2555
242,36300,-23.3859
243,36450,-16.2523
244,36600,-18.3907
245,36750,-3.7374
246,36900,-24.8305
247,37050,-12.0673
248,37200,-8.6889
249,37350,-14.4088
250,37500,13.7589
251,37650,-24.0944
252,37800,-21.5028
253,37950,-11.0764
254,38100,-14.9987
255,38250,12.2189
256,38400,-21.8555
257,38550,-1.3784
