algo,run_id,total_steps,hp_batch_size,hp_buffer_size,hp_exploration_final_eps,hp_exploration_fraction,hp_gamma,hp_learning_rate,hp_learning_starts,hp_seed,hp_target_update_interval,hp_train_freq,mean_reward,std_reward,success_rate,mean_final_health,water_used,mean_reward_stochastic,std_reward_stochastic,success_rate_stochastic,mean_final_health_stochastic,water_used_stochastic,episodes_to_converge
dqn,dqn_00,100000,64,50000,0.05,0.2,0.98,0.001,1000,0,1000,4,-9.426818710884575,8.791138609013828,0.05,0.5928063109517098,0.555,-8.306712359794517,7.704438414343872,0.05,0.5925790667533875,0.6500000000000001,666
dqn,dqn_01,100000,64,200000,0.05,0.2,0.98,0.001,1000,1,1000,4,-10.008669164404264,8.361687223566468,0.05,0.5707727164030075,0.4125,-9.335320588496039,8.157414712019625,0.05,0.5910851925611496,0.5249999999999999,642
dqn,dqn_02,100000,64,50000,0.05,0.2,0.99,0.001,1000,2,1000,4,-12.140995345248903,8.35465355516238,0.0,0.522407128661871,0.6200000000000001,-13.346800193910791,6.746329479181598,0.0,0.5124155685305596,0.6950000000000001,63
dqn,dqn_03,100000,64,200000,0.05,0.2,0.99,0.001,1000,3,1000,4,-18.229124246058284,8.030712471771627,0.0,0.49385064244270327,0.8825000000000001,-17.785496257105258,5.909141926572334,0.0,0.5003671482205391,0.8075000000000003,2
dqn,dqn_04,100000,64,50000,0.05,0.2,0.98,0.0005,1000,4,1000,4,-0.407263915303459,12.356288306461396,0.25,0.7125597193837165,0.7600000000000001,0.6909938079536424,10.865911969855274,0.3,0.7202798500657082,0.7625000000000001,108
dqn,dqn_05,100000,64,200000,0.05,0.2,0.98,0.0005,1000,5,1000,4,-8.667820655757396,9.007805955330582,0.0,0.6404767394065857,0.8250000000000002,-5.770080149926875,10.72329338162453,0.05,0.6951748624444007,0.8100000000000002,96
dqn,dqn_06,100000,64,50000,0.05,0.2,0.99,0.0005,1000,6,1000,4,-5.525788489948016,12.137283478403562,0.25,0.6709767207503319,0.7850000000000001,-6.732491081900827,9.84934622267174,0.1,0.632396474480629,0.8400000000000002,342
dqn,dqn_07,100000,64,200000,0.05,0.2,0.99,0.0005,1000,7,1000,4,-7.700789974320976,9.313651191626418,0.0,0.6322693437337875,0.4,-9.34495234440658,8.751894697013096,0.05,0.6185140609741211,0.335,212
dqn,dqn_08,100000,64,50000,0.05,0.2,0.98,0.0003,1000,8,1000,4,-0.724287965444524,10.148852506584989,0.25,0.7219439670443535,0.8200000000000001,-3.3287841795423554,11.505109240374175,0.25,0.6867315173149109,0.8475000000000001,310
dqn,dqn_09,100000,64,200000,0.05,0.2,0.98,0.0003,1000,9,1000,4,-3.5939430291458905,9.567102252613422,0.1,0.6919715255498886,0.5650000000000002,-2.9989427057606584,10.773224408829597,0.15,0.6806910574436188,0.6800000000000002,331
