time/fps,time/iterations,rollout/success_rate,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/approx_kl,train/clip_range,train/loss,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/n_updates,train/clip_fraction
9918,1,0.0,-17.3431615,1024,0,150.0,,,,,,,,,,
6317,2,0.0,-14.417963916666665,2048,0,150.0,0.0003,0.011940361,0.2,-0.006940603256225586,-2.187753427028656,0.02308034896850586,-0.023762325232382864,1.0283810093067587,10,0.10947265625
5816,3,0.0,-13.791900950000002,3072,0,150.0,0.0003,0.012026338,0.2,-0.04818248748779297,-2.168620674312115,0.6676366329193115,-0.01666805582062807,0.4099344378337264,20,0.1046875
5601,4,0.0,-13.764453208333336,4096,0,150.0,0.0003,0.009614885,0.2,0.04272496700286865,-2.1635784789919854,0.5690814256668091,-0.015996065468061715,0.7196415818296373,30,0.03798828125
5490,5,0.0,-13.713789031250002,5120,0,150.0,0.0003,0.008715881,0.2,0.0030358880758285522,-2.1443674221634863,0.41852426528930664,-0.02034893950622063,0.6342515396885574,40,0.08837890625
5334,6,0.0,-13.89230735,6144,1,150.0,0.0003,0.011639193,0.2,-0.03328733146190643,-2.1443246439099313,0.49106305837631226,-0.015274151565972716,0.4591507270000875,50,0.08427734375
5285,7,0.0,-13.925246886363636,7168,1,150.0,0.0003,0.009130351,0.2,-0.021682552993297577,-2.1351750642061234,0.5226973295211792,-0.013485104974824936,0.5885830227285623,60,0.05244140625
5251,8,0.0,-14.188017711538462,8192,1,150.0,0.0003,0.00907805,0.2,-0.06457424908876419,-2.133373048901558,0.49574553966522217,-0.019520476821344345,0.48655436458066104,70,0.07333984375
5230,9,0.0,-14.3328377,9216,1,150.0,0.0003,0.013339478,0.2,-0.04358641058206558,-2.135315737128258,0.3894771337509155,-0.023922242189291863,0.6504013817757368,80,0.169140625
5160,10,0.0,-14.52154623529412,10240,1,150.0,0.0003,0.0132620875,0.2,-0.02043312042951584,-2.0977999597787855,0.4696882367134094,-0.016837217548163606,0.5196963406167925,90,0.1083984375
5111,11,0.0,-15.00688434722222,11264,2,150.0,0.0003,0.011905674,0.2,-0.03411298245191574,-2.0789026603102685,0.5655461549758911,-0.02240747954347171,0.5390892171766609,100,0.116796875
5047,12,0.0,-15.0158934,12288,2,150.0,0.0003,0.011766583,0.2,-0.0315304771065712,-2.0719686701893805,0.5592342019081116,-0.01896612735581584,0.6708439715206623,110,0.1279296875
5033,13,0.0,-15.19010028409091,13312,2,150.0,0.0003,0.012354266,0.2,-0.07917483896017075,-2.0807110607624053,0.8320307731628418,-0.019316895143128933,0.24669327726587653,120,0.0880859375
5035,14,0.0,-14.901778815217394,14336,2,150.0,0.0003,0.011971971,0.2,-0.10015269368886948,-2.111839918792248,0.7875999212265015,-0.021146297972882165,0.33295864979736506,130,0.13671875
5038,15,0.0,-14.781758119999997,15360,3,150.0,0.0003,0.011420123,0.2,-0.09777210652828217,-2.129101923108101,0.5877634286880493,-0.018543898273492232,0.45655298181809484,140,0.08076171875
4965,16,0.0,-14.337281449999999,16384,3,150.0,0.0003,0.009654514,0.2,-0.0585540235042572,-2.0929113060235975,0.6984997391700745,-0.024695376338786445,0.3639159888029099,150,0.172265625
4972,17,0.0,-14.214681919999997,17408,3,150.0,0.0003,0.010599652,0.2,-0.013979151844978333,-2.076111449301243,0.6773128509521484,-0.01858638572739437,0.42747018188238145,160,0.09287109375
4981,18,0.0,-13.94144813,18432,3,150.0,0.0003,0.01153558,0.2,-0.08580920845270157,-2.0738537862896917,0.7850924134254456,-0.02523821942158975,0.28267840812914075,170,0.13935546875
4988,19,0.0,-13.74966164,19456,3,150.0,0.0003,0.011476786,0.2,-0.10868115723133087,-2.10762757062912,0.8448889255523682,-0.02219015050213784,0.267480940464884,180,0.1353515625
4976,20,0.0,-13.5827336,20480,4,150.0,0.0003,0.013182206,0.2,-0.0626533031463623,-2.1007685005664825,0.57366943359375,-0.024482287123100833,0.45325796930119394,190,0.1408203125
4977,21,0.0,-13.248818980000003,21504,4,150.0,0.0003,0.011048002,0.2,-0.07320848852396011,-2.087672145664692,0.7077388763427734,-0.019946612237254156,0.38480659867636857,200,0.0873046875
4983,22,0.0,-12.881364609999999,22528,4,150.0,0.0003,0.010922799,0.2,-0.06054829806089401,-2.0865734785795214,0.5622842311859131,-0.01935357943875715,0.40546079063788054,210,0.065234375
4978,23,0.0,-12.458002190000002,23552,4,150.0,0.0003,0.009661944,0.2,-0.07700370997190475,-2.0855361193418505,0.7879806756973267,-0.01812170035263989,0.2904203928075731,220,0.0662109375
4973,24,0.01,-11.9203271,24576,4,150.0,0.0003,0.009296753,0.2,-0.06634004414081573,-2.057948188483715,0.7996773719787598,-0.016915372951189056,0.2528352621011436,230,0.08447265625
4967,25,0.01,-11.404313410000002,25600,5,150.0,0.0003,0.0111747105,0.2,-0.044869646430015564,-2.065121519565582,0.5467151403427124,-0.017534055025316776,0.5315577275119722,240,0.0951171875
4972,26,0.02,-10.687887660000001,26624,5,150.0,0.0003,0.011295507,0.2,-0.03136448562145233,-2.060861274600029,0.7918062210083008,-0.018643167641130276,0.4082027688622475,250,0.10400390625
4980,27,0.02,-10.240048789999998,27648,5,150.0,0.0003,0.0120174065,0.2,-0.022522814571857452,-2.029346887767315,0.5254268646240234,-0.023505803864100016,0.38624449339695277,260,0.10390625
4986,28,0.02,-10.15336816,28672,5,150.0,0.0003,0.012942079,0.2,-0.03904066979885101,-2.007974585145712,0.780055046081543,-0.02143304982164409,0.3402219147887081,270,0.105078125
4990,29,0.04,-9.339488260000001,29696,5,150.0,0.0003,0.0131827155,0.2,-0.10424746572971344,-2.000167779624462,0.7686248421669006,-0.025060330019914544,0.33947369726374743,280,0.15771484375
4987,30,0.04,-9.363869209999999,30720,6,150.0,0.0003,0.011535752,0.2,0.005588158965110779,-1.9984590232372283,0.663607656955719,-0.018047913775080814,0.6603140676859767,290,0.1046875
4986,31,0.04,-9.04796923,31744,6,150.0,0.0003,0.014088106,0.2,-0.07783964276313782,-1.9902115151286126,0.8568102121353149,-0.028084798669442534,0.3071619431953877,300,0.1572265625
4987,32,0.04,-8.63525971,32768,6,150.0,0.0003,0.012382198,0.2,-0.057761840522289276,-1.9908444441854953,0.7711135149002075,-0.02114321809494868,0.3326686684507877,310,0.10908203125
4992,33,0.04,-8.109469469999999,33792,6,150.0,0.0003,0.009645352,0.2,-0.07094383239746094,-1.9984672717750072,0.7965478301048279,-0.018086440666229463,0.4411927948240191,320,0.07587890625
4995,34,0.06,-7.146683300000001,34816,6,150.0,0.0003,0.010670854,0.2,-0.11641711741685867,-1.9573634006083012,0.877774178981781,-0.021446468972135334,0.368163881637156,330,0.11689453125
5000,35,0.06,-6.991423899999998,35840,7,150.0,0.0003,0.009858735,0.2,-0.08137264847755432,-1.9942438766360282,0.8298226594924927,-0.01647791413415689,0.37888346374966203,340,0.09267578125
5004,36,0.06,-6.587180250000001,36864,7,150.0,0.0003,0.012046834,0.2,-0.0381520539522171,-1.9564251273870468,0.7924444079399109,-0.019197041192092,0.3974643522873521,350,0.11484375
5006,37,0.06,-6.172596240000001,37888,7,150.0,0.0003,0.016453275,0.2,-0.10774526000022888,-1.9868560247123241,0.7724505662918091,-0.029504856548737735,0.3676967932842672,360,0.16123046875
5009,38,0.06,-6.033334009999999,38912,7,150.0,0.0003,0.013871143,0.2,-0.0641576275229454,-1.961668711900711,0.7519359588623047,-0.029232352355029433,0.32782839774154127,370,0.14892578125
5010,39,0.05,-5.60739392,39936,7,150.0,0.0003,0.013579893,0.2,-0.11032271385192871,-2.0159955941140653,0.8525009751319885,-0.031149523006752132,0.24002281427383423,380,0.1759765625
5014,40,0.05,-5.15363255,40960,8,150.0,0.0003,0.012518562,0.2,-0.0787089467048645,-1.9663792699575424,0.7977339625358582,-0.01787809432426002,0.38929482717067004,390,0.126953125
5019,41,0.04,-5.30094117,41984,8,150.0,0.0003,0.01489593,0.2,-0.06853614747524261,-1.97539364695549,0.7736039161682129,-0.027126049838261678,0.27713856534101067,400,0.1361328125
5022,42,0.04,-4.521669490000001,43008,8,150.0,0.0003,0.010551976,0.2,-0.09420044720172882,-1.9439070165157317,0.8450708389282227,-0.02347972605493851,0.2757881775032729,410,0.12373046875
5023,43,0.04,-4.01040451,44032,8,150.0,0.0003,0.018926319,0.2,-0.1155756264925003,-1.940366867184639,0.6969144344329834,-0.036708434263709934,0.28074735277332363,420,0.17255859375
5023,44,0.03,-3.6781260799999997,45056,8,150.0,0.0003,0.016593095,0.2,-0.10351742804050446,-1.8986570060253143,0.8613772988319397,-0.023034514038590713,0.2564354165457189,430,0.13349609375
5027,45,0.03,-3.52837072,46080,9,150.0,0.0003,0.013315147,0.2,-0.07155512273311615,-1.878959684073925,0.8727142810821533,-0.021363761532120405,0.3016639134380966,440,0.13203125
5031,46,0.04,-3.02669238,47104,9,150.0,0.0003,0.01744111,0.2,-0.0605643168091774,-1.9187814235687255,0.8471706509590149,-0.028372999187558888,0.3367199724540114,450,0.1453125
5032,47,0.04,-3.07504594,48128,9,150.0,0.0003,0.013221566,0.2,-0.09097796678543091,-1.8455965593457222,0.8478295803070068,-0.02792252687504515,0.3184289653785527,460,0.18564453125
5034,48,0.04,-3.03652783,49152,9,150.0,0.0003,0.010917146,0.2,-0.09422840178012848,-1.8584610052406787,0.8744260668754578,-0.02258805029268842,0.3543995011597872,470,0.11298828125
5013,49,0.02,-3.2832293900000002,50176,10,150.0,0.0003,0.013132531,0.2,-0.047823041677474976,-1.882087517529726,0.6296905279159546,-0.019656246213708074,0.34826094140298663,480,0.13642578125
5018,50,0.02,-3.20976385,51200,10,150.0,0.0003,0.017356507,0.2,-0.11498762667179108,-1.8879998050630094,0.8603010177612305,-0.03166389911784791,0.2526258459314704,490,0.216015625
5020,51,0.03,-3.146120869999999,52224,10,150.0,0.0003,0.019528188,0.2,-0.034335941076278687,-1.8974489204585552,0.8611695170402527,-0.0326689107605489,0.3067864190787077,500,0.21865234375
5023,52,0.03,-3.0201597200000005,53248,10,150.0,0.0003,0.013634729,0.2,-0.05865306407213211,-1.8433177284896374,0.6934391856193542,-0.02349762846133672,0.43260344564914704,510,0.1345703125
5025,53,0.04,-2.92425274,54272,10,150.0,0.0003,0.014124125,0.2,-0.08791505545377731,-1.8598935842514037,0.9244000911712646,-0.029700555314775556,0.23743659034371375,520,0.165234375
5025,54,0.04,-2.7984507699999996,55296,11,150.0,0.0003,0.010771984,0.2,-0.1007901132106781,-1.8544236965477467,0.808320164680481,-0.019287780142622068,0.3247541883494705,530,0.122265625
