episode,total_timesteps,reward
1,600,-24.6695
2,600,-10.3598
3,600,-17.0837
4,600,-20.1749
5,1200,-22.2212
6,1200,-12.9075
7,1200,-27.2812
8,1200,-4.5505
9,1800,-13.2082
10,1800,-11.9966
11,1800,-18.6367
12,1800,-11.3578
13,2400,-14.506
14,2400,-13.5763
15,2400,-4.2814
16,2400,-13.7094
17,3000,-20.1764
18,3000,-17.6689
19,3000,-10.5369
20,3000,-15.3773
21,3600,-22.1598
22,3600,-12.8708
23,3600,-10.8015
24,3600,-7.517
25,4200,-10.7551
26,4200,-21.9246
27,4200,0.6153
28,4200,-16.7238
29,4800,-8.0324
30,4800,-9.878
31,4800,-14.2532
32,4800,-16.1751
33,5400,-14.045
34,5400,-4.248
35,5400,-9.1785
36,5400,-13.5279
37,6000,-13.1945
38,6000,-21.1789
39,6000,-17.8417
40,6000,-15.9618
41,6600,-13.4797
42,6600,-12.6693
43,6600,-15.0726
44,6600,-8.5501
45,7200,-22.1719
46,7200,-17.2583
47,7200,-10.1456
48,7200,-10.5965
49,7800,-16.2439
50,7800,-18.9966
51,7800,-20.7925
52,7800,-16.8426
53,8400,-17.5224
54,8400,-6.4663
55,8400,-21.4358
56,8400,-21.1982
57,9000,-16.3297
58,9000,-9.9082
59,9000,-19.9081
60,9000,-5.1854
61,9600,-20.454
62,9600,-5.1574
63,9600,-10.686
64,9600,-10.029
65,10200,-8.3318
66,10200,-18.2468
67,10200,-20.2198
68,10200,-28.2155
69,10800,-10.9908
70,10800,-12.2676
71,10800,-24.9467
72,10800,-12.4619
73,11400,-18.6349
74,11400,-15.0963
75,11400,-23.0597
76,11400,-16.7404
77,12000,6.5583
78,12000,-11.0878
79,12000,-14.6708
80,12000,-17.3209
81,12600,-14.9019
82,12600,-11.5076
83,12600,-10.4256
84,12600,-22.7104
85,13200,-17.4805
86,13200,-14.4264
87,13200,-1.8623
88,13200,-17.0966
89,13800,-11.9544
90,13800,-26.7439
91,13800,-19.0081
92,13800,-13.9663
93,14400,5.3182
94,14400,-16.6301
95,14400,-14.1683
96,14400,-21.5778
97,15000,-20.6348
98,15000,-16.3296
99,15000,-25.8195
100,15000,-18.6013
101,15600,-9.4234
102,15600,-12.9392
103,15600,-4.3973
104,15600,-16.645
105,16200,-16.2761
106,16200,-12.1513
107,16200,-18.218
108,16200,0.3046
109,16800,-13.1386
110,16800,-14.8366
111,16800,-19.3701
112,16800,-4.2832
113,17400,-15.2746
114,17400,-11.7878
115,17400,-27.2976
116,17400,-1.4141
117,18000,-20.4683
118,18000,-14.7187
119,18000,-3.5049
120,18000,-9.1235
121,18600,-15.9121
122,18600,-19.2596
123,18600,-28.42
124,18600,-5.9237
125,19200,-17.7315
126,19200,-15.272
127,19200,-17.8498
128,19200,-12.6152
129,19800,-9.1958
130,19800,-12.4369
131,19800,-19.0252
132,19800,-15.7835
133,20400,-8.5733
134,20400,-10.6989
135,20400,-19.6706
136,20400,-24.3996
137,21000,-9.1983
138,21000,-6.9177
139,21000,-16.4096
140,21000,-23.2797
141,21600,-8.9847
142,21600,-18.2966
143,21600,-22.1021
144,21600,-8.4719
145,22200,-15.5609
146,22200,-9.268
147,22200,-12.8731
148,22200,-21.9972
149,22800,8.0192
150,22800,-3.7342
151,22800,-1.8264
152,22800,-19.8176
153,23400,-6.4961
154,23400,-24.2438
155,23400,-6.5109
156,23400,-5.674
157,24000,-18.435
158,24000,-10.6183
159,24000,-15.1431
160,24000,-15.4882
161,24600,-7.4419
162,24600,-12.2359
163,24600,-15.8984
164,24600,-19.8823
165,25200,-19.1754
166,25200,-8.0168
167,25200,-16.8665
168,25200,-16.462
169,25800,-4.0025
170,25800,-9.4348
171,25800,-18.3594
172,25800,-14.8137
173,26400,-18.4745
174,26400,-1.9098
175,26400,-4.3248
176,26400,-11.6297
177,27000,-9.9022
178,27000,-8.7245
179,27000,-12.8202
180,27000,-18.4418
181,27600,-12.0802
182,27600,-2.0849
183,27600,-7.1385
184,27600,-12.5354
185,28200,-5.8704
186,28200,-3.0717
187,28200,-10.7084
188,28200,-15.5593
189,28800,-13.8078
190,28800,-6.7766
191,28800,-13.3531
192,28800,-14.9594
193,29400,-0.5897
194,29400,-15.0248
195,29400,-12.1928
196,29400,-4.9448
197,30000,-5.2512
198,30000,-12.1806
199,30000,-13.8577
200,30000,-2.0409
201,30600,-18.9658
202,30600,1.1474
203,30600,-12.8384
204,30600,-15.262
205,31200,0.0311
206,31200,-7.241
207,31200,-14.6289
208,31200,-9.4303
209,31800,-7.4326
210,31800,-6.3195
211,31800,-17.5066
212,31800,-2.4409
213,32400,1.4044
214,32400,10.8643
215,32400,-9.0926
216,32400,-11.7642
217,33000,-8.2358
218,33000,3.574
219,33000,-8.4156
220,33000,-19.3365
221,33600,-11.7949
222,33600,-15.4199
223,33600,-3.4374
224,33600,-5.1679
225,34200,-3.6583
226,34200,-7.1721
227,34200,3.1838
228,34200,-2.8008
229,34800,-14.6459
230,34800,-10.2726
231,34800,-17.6928
232,34800,-19.1661
233,35400,-16.6453
234,35400,-12.6593
235,35400,-6.7087
236,35400,-10.6747
237,36000,-16.4512
238,36000,-4.7421
239,36000,6.5289
240,36000,-13.7847
241,36600,-5.0016
242,36600,-16.672
243,36600,-4.0633
244,36600,-14.363
245,37200,-17.7784
246,37200,-1.0081
247,37200,-1.4259
248,37200,-8.0886
249,37800,-17.0157
250,37800,-14.5204
251,37800,-8.1407
252,37800,-2.7568
253,38400,-12.298
254,38400,2.7069
255,38400,-21.9077
256,38400,1.1007
257,39000,-6.6233
258,39000,-2.8417
259,39000,1.6483
260,39000,-0.4288
261,39600,-8.6969
262,39600,-13.6229
263,39600,-8.2376
264,39600,-8.119
265,40200,-3.2924
266,40200,-9.3507
267,40200,-3.3559
268,40200,-3.0301
269,40800,-16.8712
270,40800,2.665
271,40800,-13.3602
272,40800,-11.1667
273,41400,13.9401
274,41400,-17.2056
275,41400,-16.515
276,41400,11.2315
277,42000,-7.3689
278,42000,-0.0747
279,42000,7.5921
280,42000,-17.1631
281,42600,-2.1816
282,42600,-7.873
283,42600,-7.4572
284,42600,1.9732
285,43200,-10.8138
286,43200,-12.3257
287,43200,0.7937
288,43200,4.9336
289,43800,-16.116
290,43800,-21.9301
291,43800,-4.1656
292,43800,-2.7517
293,44400,-12.5829
294,44400,-14.999
295,44400,6.2615
296,44400,-2.8359
297,45000,-0.4276
298,45000,-6.3945
299,45000,11.9904
300,45000,0.1538
301,45600,-6.0251
302,45600,-9.8583
303,45600,-13.9854
304,45600,-10.7438
305,46200,-6.7942
306,46200,0.5464
307,46200,11.5831
308,46200,-14.6
309,46800,-11.3975
310,46800,-15.1155
311,46800,-8.695
312,46800,-2.0823
313,47400,4.6425
314,47400,-3.932
315,47400,6.5322
316,47400,2.4466
317,48000,-1.7636
318,48000,-4.831
319,48000,-9.8798
320,48000,-9.0403
321,48600,3.1188
322,48600,0.6081
323,48600,-3.1188
324,48600,-1.7227
325,49200,-0.9388
326,49200,3.4114
327,49200,-3.7232
328,49200,11.6009
329,49800,-2.5977
330,49800,-7.3666
331,49800,-11.6141
332,49800,-15.6626
333,50400,-9.0496
334,50400,-4.3275
335,50400,7.2762
336,50400,-7.7489
337,51000,-13.5556
338,51000,-12.4877
339,51000,-5.8899
340,51000,-6.7219
341,51600,-8.2171
342,51600,-10.3138
343,51600,-3.1438
344,51600,0.1984
345,52200,3.5368
346,52200,-6.9645
347,52200,-6.2659
348,52200,-4.0708
349,52800,0.6027
350,52800,14.3164
351,52800,7.2951
352,52800,-12.2578
353,53400,-17.3128
354,53400,-1.709
355,53400,-3.8582
356,53400,0.5165
357,54000,-13.2986
358,54000,-17.8367
359,54000,1.825
360,54000,12.7173
361,54600,1.8225
362,54600,4.7982
363,54600,-1.3684
364,54600,12.09
365,55200,-11.4632
366,55200,8.0476
367,55200,-4.4373
368,55200,-4.9358
369,55800,1.111
370,55800,0.1971
371,55800,16.8048
372,55800,10.5081
373,56400,-5.2972
374,56400,-24.3034
375,56400,-1.4693
376,56400,2.3827
377,57000,5.9935
378,57000,12.5485
379,57000,14.5731
380,57000,-5.9473
381,57600,-7.4024
382,57600,-1.1776
383,57600,-4.2342
384,57600,13.648
385,58200,-2.3012
386,58200,-2.1423
387,58200,14.3267
388,58200,-3.0251
