time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/success_rate,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/loss,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss,train/n_updates
2048,150.0,1,0.0,-16.203962416666666,10174,0,,,,,,,,,,
4096,150.0,2,0.0,-14.901215458333334,6388,0,-0.10496890544891357,-0.018156753829680385,0.101513671875,0.2,0.06202048435807228,0.012862477,0.0003,0.6147642499534414,-2.187538745999336,10
6144,150.0,3,0.0,-14.098303900000001,5411,1,0.20560449361801147,-0.014970579533837736,0.069287109375,0.2,0.0657680407166481,0.0087685045,0.0003,0.7562762679997832,-2.172460989654064,20
8192,150.0,4,0.0,-14.360612442307692,5247,1,0.559921145439148,-0.013714318934944458,0.08837890625,0.2,0.07619760185480118,0.009163812,0.0003,0.5266746809706092,-2.143248975276947,30
10240,150.0,5,0.0,-14.500681294117648,5218,1,0.580956220626831,-0.019120986481721048,0.10986328125,0.2,0.09675930440425873,0.011617898,0.0003,0.5064600232988596,-2.134949062764645,40
12288,150.0,6,0.0,-14.459575675,5123,2,0.7043520212173462,-0.018276953566237354,0.1142578125,0.2,0.2315506637096405,0.010477701,0.0003,0.6141885393764823,-2.1301892772316933,50
14336,150.0,7,0.0,-14.552716695652173,5017,2,0.6777979731559753,-0.015271656049299054,0.087890625,0.2,0.073625847697258,0.008699597,0.0003,0.4840130676049739,-2.105709770321846,60
16384,150.0,8,0.01,-14.17790518,5021,3,0.738021194934845,-0.016279519750969484,0.0873046875,0.2,0.06558540463447571,0.008614191,0.0003,0.401617000438273,-2.113236652314663,70
18432,150.0,9,0.01,-14.07976777,5021,3,0.7659685611724854,-0.015772311796899884,0.067529296875,0.2,0.048483848571777344,0.009263495,0.0003,0.36800034027546646,-2.1166900530457498,80
20480,150.0,10,0.01,-14.692692359999999,5031,4,0.7661017179489136,-0.02116997556440765,0.121630859375,0.2,0.12666627764701843,0.011805927,0.0003,0.48442501495592294,-2.0954712010920047,90
22528,150.0,11,0.01,-14.645080319999998,5038,4,0.8010115027427673,-0.02273618514300324,0.146923828125,0.2,0.030350148677825928,0.012484265,0.0003,0.35378484027460216,-2.09351614266634,100
24576,150.0,12,0.01,-13.93646696,5013,4,0.7335407733917236,-0.022880171446013266,0.129150390625,0.2,0.026296313852071762,0.012571532,0.0003,0.41013101669959723,-2.0835243448615075,110
26624,150.0,13,0.01,-13.37036226,4957,5,0.76837557554245,-0.02126307805883698,0.123876953125,0.2,0.036437854170799255,0.012863642,0.0003,0.3547120138769969,-2.065202870965004,120
28672,150.0,14,0.01,-13.09041362,4949,5,0.7467632293701172,-0.02396919808234088,0.168701171875,0.2,0.08577585220336914,0.012787728,0.0003,0.3506208634702489,-2.058881028741598,130
30720,150.0,15,0.0,-12.264189739999999,4923,6,0.8555304408073425,-0.024443826175411233,0.14560546875,0.2,0.026832006871700287,0.013846148,0.0003,0.29687959058210256,-2.0280352707952263,140
