time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/success_rate,time/iterations,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/n_updates,train/value_loss
1024,150.0,-20.502226999999998,10613,0,0.0,1,,,,,,,,,,
2048,150.0,-11.97703725,6666,0,0.0,2,-2.1855113789439202,0.2,-0.031149324207217433,0.001,-0.008105356246232986,0.17307674884796143,0.014578886,0.194140625,10,0.49746874826960263
3072,150.0,-11.86016645,6040,0,0.0,3,-2.1668406262993813,0.2,-0.036472368834074585,0.001,-0.0061722248792648315,0.5751239657402039,0.017779917,0.22138671875,20,0.3072376176714897
4096,150.0,-11.703615625,5743,0,0.0,4,-2.1510314866900444,0.2,-0.032961902226088566,0.001,-0.03642728924751282,0.3462943434715271,0.022168402,0.22783203125,30,0.3927539156982675
5120,150.0,-12.13367290625,5618,0,0.0,5,-2.1427429363131525,0.2,-0.02708282131352462,0.001,-0.04468055069446564,0.6128815412521362,0.016132556,0.2267578125,40,0.33443708615377543
6144,150.0,-12.1903847,5507,1,0.0,6,-2.1240609869360925,0.2,-0.028679794556228443,0.001,-0.04832727462053299,0.6061946153640747,0.024935959,0.22138671875,50,0.2815275426954031
7168,150.0,-11.908918659090908,5450,1,0.0,7,-2.1165447503328325,0.2,-0.038014433687203565,0.001,-0.03784999996423721,0.540058970451355,0.028029222,0.26259765625,60,0.33469833894632756
8192,150.0,-12.339882346153844,5384,1,0.0,8,-2.0679091036319734,0.2,-0.03287221843493171,0.001,-0.06403477489948273,0.5680917501449585,0.023929097,0.260546875,70,0.2096185690490529
9216,150.0,-12.592760266666666,5208,1,0.0,9,-2.0929252713918687,0.2,-0.026703481940785423,0.001,0.012924600392580032,0.532882571220398,0.021264244,0.24130859375,80,0.2591193393105641
10240,150.0,-12.777515088235292,5198,1,0.0,10,-2.1021404579281806,0.2,-0.031020588229876012,0.001,-0.031586721539497375,0.7024616003036499,0.021293867,0.2369140625,90,0.2340971588389948
11264,150.0,-12.681855347222223,5192,2,0.0,11,-2.070583809912205,0.2,-0.0365742657915689,0.001,-0.05256974324584007,0.5740029811859131,0.025343716,0.294140625,100,0.26367128079291435
12288,150.0,-12.60811435,5192,2,0.0,12,-2.105176293849945,0.2,-0.03278811050113291,0.001,0.007718227803707123,0.6541587114334106,0.019086765,0.27861328125,110,0.24424731235485525
13312,150.0,-12.51321234090909,5163,2,0.0,13,-2.097083088755608,0.2,-0.029445807519368827,0.001,-0.0185110904276371,0.7415827512741089,0.025181834,0.255859375,120,0.21702855080366135
14336,150.0,-12.80604758695652,5159,2,0.0,14,-2.0330531865358354,0.2,-0.03456721162074246,0.001,-0.06858330965042114,0.8557765483856201,0.023128834,0.30078125,130,0.17804184176493437
15360,150.0,-13.187920210000001,5150,2,0.0,15,-2.014105012267828,0.2,-0.02975162531947717,0.001,-0.04073256626725197,0.7275096774101257,0.027911501,0.2513671875,140,0.23330533632542938
16384,150.0,-12.797061840000001,5148,3,0.0,16,-2.0406482800841332,0.2,-0.03150481928605586,0.001,-0.023937225341796875,0.8656314611434937,0.024803374,0.2869140625,150,0.1617902763420716
17408,150.0,-12.904159630000002,5148,3,0.0,17,-2.0225094594061375,0.2,-0.03642038965772372,0.001,-0.08261421322822571,0.6844350099563599,0.030131534,0.2666015625,160,0.19158174585318194
18432,150.0,-12.716315560000004,5151,3,0.0,18,-2.0121019445359707,0.2,-0.034092463337583465,0.001,-0.07488740980625153,0.7574617862701416,0.02288203,0.2697265625,170,0.18048762397374957
19456,150.0,-12.900435259999997,5150,3,0.0,19,-2.0267657443881033,0.2,-0.03909564733621664,0.001,-0.014812536537647247,0.8145946860313416,0.028680138,0.2994140625,180,0.24840082046575845
20480,150.0,-12.859367139999996,5148,3,0.0,20,-1.9964177489280701,0.2,-0.03404233580222353,0.001,-0.0351174995303154,0.8454043865203857,0.028556144,0.28515625,190,0.18693964155390858
21504,150.0,-12.67040673,5151,4,0.0,21,-1.9614345505833626,0.2,-0.040293587639462204,0.001,-0.061023883521556854,0.8705050945281982,0.03222216,0.32900390625,200,0.14033046716358513
22528,150.0,-12.417694400000002,5130,4,0.01,22,-1.9718855865299703,0.2,-0.038796250429004434,0.001,-0.06912264227867126,0.8073667287826538,0.034435697,0.30693359375,210,0.19079609746113418
23552,150.0,-11.879994349999997,5093,4,0.01,23,-1.974791270494461,0.2,-0.03438077704049647,0.001,-0.02206035703420639,0.7255923748016357,0.03032325,0.34384765625,220,0.2270576863316819
24576,150.0,-12.008142020000001,5098,4,0.01,24,-1.9078200466930866,0.2,-0.04033467282424681,0.001,-0.054856762290000916,0.8015336990356445,0.025911024,0.29365234375,230,0.2310750482836738
25600,150.0,-11.76127363,5085,5,0.01,25,-1.9277206398546696,0.2,-0.04788609598181211,0.001,-0.05821999907493591,0.8665027022361755,0.03605999,0.36484375,240,0.18335442033130675
26624,150.0,-11.460538099999999,5089,5,0.01,26,-1.8860591776669025,0.2,-0.04335851673095022,0.001,-0.04497562348842621,0.8564032316207886,0.042582046,0.33544921875,250,0.33588535194285213
27648,150.0,-10.79720997,5085,5,0.02,27,-1.9119213677942752,0.2,-0.02956531950039789,0.001,-0.03926853835582733,0.6901677846908569,0.025785798,0.30546875,260,0.20670854912605136
28672,150.0,-10.610494660000002,5085,5,0.02,28,-1.9037221662700177,0.2,-0.023379027590272015,0.001,-0.03777530789375305,0.7551010251045227,0.026604544,0.32314453125,270,0.23869388210587203
29696,150.0,-9.73452022,5085,5,0.02,29,-1.9205665647983552,0.2,-0.03476281656767242,0.001,-0.025613009929656982,0.5523043870925903,0.038858343,0.31630859375,280,0.24629349343013018
30720,150.0,-9.009230969999999,5085,6,0.02,30,-1.8980687424540519,0.2,-0.0366197643452324,0.001,-0.07509283721446991,0.8615885376930237,0.037594408,0.3357421875,290,0.1895463413093239
31744,150.0,-9.00754679,5084,6,0.03,31,-1.8632955379784106,0.2,-0.03378468134906143,0.001,-0.07982490211725235,0.8307099342346191,0.032397598,0.29990234375,300,0.1937130672391504
32768,150.0,-8.54902425,5085,6,0.03,32,-1.888975053280592,0.2,-0.0246181758469902,0.001,-0.03456678241491318,0.809233546257019,0.02684787,0.31328125,310,0.17500627997796983
33792,150.0,-8.021218639999999,5082,6,0.03,33,-1.8340300925076007,0.2,-0.0345597723411629,0.001,-0.08059174567461014,0.6972706317901611,0.032626964,0.32041015625,320,0.210613603470847
34816,150.0,-7.17128548,5083,6,0.05,34,-1.7830843083560466,0.2,-0.03539876767317764,0.001,-0.07601148635149002,0.807571530342102,0.030792132,0.3017578125,330,0.20996722155250608
35840,150.0,-6.75318556,5086,7,0.06,35,-1.8437698386609553,0.2,-0.03282011790433899,0.001,-0.03233766555786133,0.6307379007339478,0.031628147,0.28046875,340,0.28243501523975284
36864,150.0,-6.432934670000001,5074,7,0.08,36,-1.8588343687355517,0.2,-0.042787885444704445,0.001,0.030111141502857208,0.42619478702545166,0.025918368,0.35009765625,350,0.32585380754899235
37888,150.0,-5.643562810000001,5061,7,0.09,37,-1.7778883554041385,0.2,-0.033608423778787255,0.001,-0.058686450123786926,0.555914044380188,0.025507674,0.29970703125,360,0.39358126514125613
38912,150.0,-5.546984000000001,5047,7,0.1,38,-1.8592212088406086,0.2,-0.03396233275998384,0.001,-0.043839532881975174,0.6760326027870178,0.028729558,0.29697265625,370,0.3689025494735688
39936,150.0,-3.7153804599999996,5003,7,0.13,39,-1.7876536309719087,0.2,-0.03782255531405099,0.001,-0.02750377357006073,0.4551926255226135,0.034395073,0.31865234375,380,0.3896303931018338
40960,150.0,-3.7065974,5002,8,0.14,40,-1.7946697451174258,0.2,-0.027472059754654766,0.001,0.0016784965991973877,0.5998890399932861,0.044804946,0.36005859375,390,0.41135432035662234
41984,150.0,-3.70059309,5003,8,0.15,41,-1.5618176199495792,0.2,-0.03331416859291494,0.001,-0.017538536339998245,0.534034252166748,0.034576397,0.31328125,400,0.4421759314602241
43008,150.0,-3.3454533300000002,5005,8,0.15,42,-1.8032608307898044,0.2,-0.030141360685229303,0.001,-0.04506581276655197,0.5158363580703735,0.027626589,0.3001953125,410,0.321453349548392
44032,150.0,-2.6493778800000007,5011,8,0.18,43,-1.709858039021492,0.2,-0.03569768279558048,0.001,-0.003960102796554565,0.7405160665512085,0.031289265,0.2994140625,420,0.3841447704471648
