time/fps,time/iterations,rollout/success_rate,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/value_loss,train/approx_kl,train/clip_range,train/learning_rate,train/n_updates,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/loss
10310,1,0.0,1024,0,-15.689808249999999,150.0,,,,,,,,,,
6413,2,0.0,2048,0,-14.091171000000001,150.0,0.4917395645752549,0.015110344,0.2,0.001,10,0.14755859375,0.009025514125823975,-0.026636074611451475,-2.1856617286801336,-0.12213866412639618
5821,3,0.0,3072,0,-12.091301099999999,150.0,0.2995289580198005,0.022112492,0.2,0.001,20,0.23203125,0.6318832039833069,-0.03590442505374085,-2.1727943122386932,-0.07411519438028336
5612,4,0.0,4096,0,-12.002650625,150.0,0.33724493691697716,0.019558735,0.2,0.001,30,0.25224609375,0.44135844707489014,-0.029200851853238417,-2.140566113591194,-0.08919867873191833
5522,5,0.0,5120,0,-12.64441421875,150.0,0.29468836775049567,0.018928928,0.2,0.001,40,0.17626953125,0.6281634569168091,-0.030788633768679574,-2.115685720741749,-0.11997611820697784
5313,6,0.0,6144,1,-12.3504194,150.0,0.3158706437563524,0.020683702,0.2,0.001,50,0.209375,0.7380725145339966,-0.023740690050181,-2.1222163870930673,-0.05664312094449997
5294,7,0.0,7168,1,-12.627806954545452,150.0,0.2781695002689958,0.020735545,0.2,0.001,60,0.22783203125,0.7017166614532471,-0.027819138125050814,-2.105490927398205,-0.1273900866508484
5230,8,0.0,8192,1,-12.049143442307694,150.0,0.3877331927418709,0.019725109,0.2,0.001,70,0.20673828125,0.5454266667366028,-0.03130407933495007,-2.0789127603173254,-0.07417330145835876
5204,9,0.0,9216,1,-12.2441497,150.0,0.2067509870044887,0.021906894,0.2,0.001,80,0.25830078125,0.7394320368766785,-0.034783348769997245,-2.10259131193161,-0.12230309844017029
5206,10,0.0,10240,1,-12.262516029411763,150.0,0.2568325774744153,0.025244454,0.2,0.001,90,0.255859375,0.7913757562637329,-0.038206805649679154,-2.0865256652235984,-0.10058668255805969
5202,11,0.0,11264,2,-12.481226597222221,150.0,0.12974049902986734,0.024665732,0.2,0.001,100,0.31181640625,0.9260071516036987,-0.03628053647698835,-2.062166826426983,-0.13406620919704437
5204,12,0.0,12288,2,-12.468472550000001,150.0,0.27048329145181926,0.027906489,0.2,0.001,110,0.26337890625,0.6283977031707764,-0.03793679013324436,-2.03936255723238,-0.12530581653118134
5197,13,0.0,13312,2,-12.278235306818182,150.0,0.20484261356759817,0.024085283,0.2,0.001,120,0.255078125,0.7647982835769653,-0.03406025209696963,-2.0463274024426936,-0.14712749421596527
5198,14,0.0,14336,2,-12.424121630434783,150.0,0.20684503992088138,0.027135562,0.2,0.001,130,0.21669921875,0.5968667268753052,-0.02824220925976988,-2.0532670870423315,-0.1082565113902092
5114,15,0.0,15360,3,-12.220686710000003,150.0,0.2225616172887385,0.025268368,0.2,0.001,140,0.2802734375,0.6514699459075928,-0.03869418224785477,-2.008755365014076,-0.1284286379814148
5115,16,0.0,16384,3,-11.398958289999998,150.0,0.251744785066694,0.030462943,0.2,0.001,150,0.32021484375,0.6156882047653198,-0.03832325231633149,-1.9969395093619824,-0.12971459329128265
5113,17,0.0,17408,3,-11.14260851,150.0,0.2532658923882991,0.025983829,0.2,0.001,160,0.266796875,0.5889151096343994,-0.03542000660672784,-1.9970225475728511,-0.12622235715389252
5108,18,0.0,18432,3,-10.9467271,150.0,0.17238609343767167,0.02854611,0.2,0.001,170,0.28330078125,0.7757560014724731,-0.03901897724135779,-1.971661961823702,-0.0960298404097557
5109,19,0.0,19456,3,-10.639154410000002,150.0,0.15875102144200354,0.02904399,0.2,0.001,180,0.32919921875,0.8498643636703491,-0.04293532384908758,-1.9622751586139202,-0.15197299420833588
5112,20,0.0,20480,4,-9.998915990000002,150.0,0.2262475999072194,0.029660234,0.2,0.001,190,0.3087890625,0.8775235414505005,-0.03027440150035545,-1.956184669584036,-0.09520447254180908
5099,21,0.0,21504,4,-9.86550529,150.0,0.1454507925431244,0.03362754,0.2,0.001,200,0.3376953125,0.8673613667488098,-0.04410882070660591,-1.9612514540553092,-0.1328384280204773
5097,22,0.01,22528,4,-9.357001959999998,150.0,0.26693948805332185,0.030408543,0.2,0.001,210,0.294140625,0.8118179440498352,-0.04549914091476239,-1.9529857382178306,-0.11894147098064423
5097,23,0.02,23552,4,-8.77633066,150.0,0.184563516988419,0.033239633,0.2,0.001,220,0.29794921875,0.7874704599380493,-0.03491950844763778,-1.9352763891220093,-0.10254548490047455
5101,24,0.03,24576,4,-8.423696589999999,150.0,0.3125914879608899,0.03299704,0.2,0.001,230,0.333984375,0.7833753824234009,-0.04479736078064889,-1.9246287375688553,-0.06962711364030838
5092,25,0.04,25600,5,-7.9132346600000005,150.0,0.256187526951544,0.026690619,0.2,0.001,240,0.267578125,0.7845128178596497,-0.031520363851450385,-1.9451141081750394,-0.07106904685497284
5093,26,0.04,26624,5,-7.557260849999999,150.0,0.3946379440836608,0.02441144,0.2,0.001,250,0.29228515625,0.6520116329193115,-0.03317276436137036,-1.843057632446289,-0.13587282598018646
5088,27,0.04,27648,5,-7.31903354,150.0,0.1738110588863492,0.026859336,0.2,0.001,260,0.32509765625,0.783407986164093,-0.03587248424300924,-1.9361578330397606,-0.13732163608074188
5085,28,0.04,28672,5,-7.1550599199999985,150.0,0.15889717005193232,0.039032266,0.2,0.001,270,0.35517578125,0.8665101528167725,-0.048460848975810225,-1.9269939377903937,-0.18017356097698212
5085,29,0.04,29696,5,-6.851430840000001,150.0,0.21294715672265738,0.0288176,0.2,0.001,280,0.3337890625,0.6333026885986328,-0.03204609660315327,-1.9065973870456219,-0.11279813945293427
5088,30,0.04,30720,6,-6.720273839999999,150.0,0.11825529569759965,0.023631232,0.2,0.001,290,0.3255859375,0.8904334306716919,-0.03590929959900677,-1.9420563735067844,-0.11864261329174042
