time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/value_loss,train/loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/clip_range
2048,1,-17.776163666666665,10509,150.0,0.0,0,,,,,,,,,,
4096,2,-15.322253249999997,6796,150.0,0.0,0,0.0009358525276184082,-2.181358800083399,-0.03150805279292399,10,0.3815671577351168,-0.001393388956785202,0.001,0.022475846,0.2271484375,0.2
6144,3,-14.459630149999999,5949,150.0,0.0,1,0.5397291779518127,-2.1630799762904642,-0.028639188894885592,20,0.20967530292691663,-0.02826208621263504,0.001,0.01776368,0.21865234375,0.2
8192,4,-14.8998105,5729,150.0,0.0,1,0.7184770703315735,-2.1447398819029333,-0.028730853082379326,30,0.3280605751089752,-0.0036919713020324707,0.001,0.020158004,0.23662109375,0.2
10240,5,-14.257555926470591,5417,150.0,0.0,1,0.8128237128257751,-2.1289143301546574,-0.03489796890644357,40,0.22656705717090517,-0.0521930456161499,0.001,0.023883888,0.24951171875,0.2
12288,6,-14.4900882625,5381,150.0,0.0,2,0.7832080125808716,-2.0992950893938542,-0.033784939427278005,50,0.22649070098996163,0.06570388376712799,0.001,0.02767152,0.29501953125,0.2
14336,7,-13.901316282608695,5342,150.0,0.0,2,0.8122910261154175,-2.103896181285381,-0.03607439972111024,60,0.2150729970773682,-0.039184704422950745,0.001,0.028474206,0.28388671875,0.2
16384,8,-12.361986589999999,5317,150.0,0.01,3,0.7135993242263794,-2.0888776019215585,-0.02677863009594148,70,0.21703194626607,-0.04654012620449066,0.001,0.022942567,0.259912109375,0.2
18432,9,-11.68308961,5254,150.0,0.01,3,0.7787924408912659,-2.0908069938421248,-0.021646206428704316,80,0.23397947278572245,-0.004979632794857025,0.001,0.020810204,0.232568359375,0.2
20480,10,-10.397846860000005,5243,150.0,0.02,3,0.7154340744018555,-2.0554392740130423,-0.031197225931100546,90,0.21727269971743227,-0.04435403645038605,0.001,0.026735399,0.299560546875,0.2
22528,11,-8.65169427,5240,150.0,0.05,4,0.5560444593429565,-2.014971728622913,-0.027731652498187032,100,0.20114688402973116,-0.046586476266384125,0.001,0.023212358,0.253564453125,0.2
24576,12,-8.430307390000001,5233,150.0,0.06,4,0.5531646013259888,-2.026606537029147,-0.03014873205975164,110,0.22362461149459706,-0.037958525121212006,0.001,0.027211634,0.295654296875,0.2
26624,13,-7.24028084,5224,150.0,0.06,5,0.8146795034408569,-2.017205756902695,-0.031980522888625275,120,0.21329989915248007,-0.04639729857444763,0.001,0.02434976,0.308447265625,0.2
28672,14,-6.501592559999999,5211,150.0,0.06,5,0.6406026482582092,-1.9879122540354728,-0.0335806612536544,130,0.19485166801605375,-0.037957556545734406,0.001,0.028462958,0.26923828125,0.2
30720,15,-6.2287673,5207,150.0,0.07,5,0.7466421127319336,-1.9548556253314018,-0.03441531232383568,140,0.16773162545869127,-0.034217070788145065,0.001,0.033682317,0.342822265625,0.2
32768,16,-6.186878560000001,5247,150.0,0.07,6,0.652030348777771,-1.9162201009690762,-0.03113894063717453,150,0.2413075900520198,-0.048965226858854294,0.001,0.027835043,0.27353515625,0.2
34816,17,-5.755196949999998,5147,150.0,0.07,6,0.8010380268096924,-1.89398128464818,-0.028081890963949262,160,0.185132152820006,-0.026537742465734482,0.001,0.02169289,0.313720703125,0.2
36864,18,-5.972907580000001,5099,150.0,0.06,7,0.785212516784668,-1.863987473398447,-0.03315036439162213,170,0.21978388297138735,-0.02444399520754814,0.001,0.025879629,0.298779296875,0.2
38912,19,-5.31478832,5048,150.0,0.04,7,0.7912219762802124,-1.8378993440419436,-0.03452209319511894,180,0.1414340556249954,-0.030070923268795013,0.001,0.043143414,0.353369140625,0.2
40960,20,-3.9113965800000003,5035,150.0,0.06,8,0.8018198013305664,-1.7931944344192743,-0.028476281886105424,190,0.22581840563798322,0.027453817427158356,0.001,0.028428376,0.3025390625,0.2
43008,21,-3.4415898499999997,5021,150.0,0.07,8,0.6274400353431702,-1.7487356279045343,-0.03242154027393553,200,0.23983340463601052,-0.02497829496860504,0.001,0.028791064,0.290380859375,0.2
45056,22,-2.11593798,5011,150.0,0.1,8,0.6060292720794678,-1.724127832055092,-0.03381109366600867,210,0.21714934455230833,-0.017677072435617447,0.001,0.032781154,0.325048828125,0.2
47104,23,-1.56715422,5013,150.0,0.11,9,0.7144477367401123,-1.7282959945499896,-0.023402746886131354,220,0.28105776230804624,0.018941953778266907,0.001,0.029324522,0.303466796875,0.2
49152,24,-0.2864618200000002,5015,150.0,0.13,9,0.768060564994812,-1.7392027299851178,-0.021269348415080457,230,0.24046220816671848,-0.019397437572479248,0.001,0.029253745,0.29892578125,0.2
