algo,run_id,total_steps,hp_batch_size,hp_ent_coef,hp_gae_lambda,hp_gamma,hp_learning_rate,hp_n_envs,hp_n_epochs,hp_n_steps,hp_seed,mean_reward,std_reward,success_rate,mean_final_health,water_used,mean_reward_stochastic,std_reward_stochastic,success_rate_stochastic,mean_final_health_stochastic,water_used_stochastic,episodes_to_converge
ppo,ppo_00,100000,64,0.01,0.95,0.99,0.0003,4,10,256,0,-5.774543585871641,13.822987795935827,0.2,0.6701595485210419,0.3275,4.784949450036523,9.160432200695439,0.3,0.7377811178565026,0.6024999999999999,366
ppo,ppo_01,100000,64,0.05,0.95,0.99,0.0003,4,10,256,1,-9.718232728429431,13.797315476896546,0.15,0.6308569267392159,0.675,1.8635952914292127,10.88691278029153,0.35,0.7004214271903038,0.9650000000000002,313
ppo,ppo_02,100000,64,0.0,0.95,0.99,0.0003,4,10,256,2,-12.872701843663412,12.75496512248344,0.1,0.5907710790634155,0.4075000000000001,1.5786284701482838,10.59127816966727,0.3,0.7179696798324585,0.63,324
ppo,ppo_03,100000,64,0.01,0.95,0.99,0.0003,4,10,512,3,-10.631199379738716,10.738429882066109,0.1,0.6041853815317154,0.8450000000000003,5.544881310281665,10.364040423256338,0.4,0.7239097192883491,1.0050000000000003,419
ppo,ppo_04,100000,64,0.05,0.95,0.99,0.0003,4,10,512,4,-3.203328485922408,11.939191288365627,0.2,0.6624766230583191,0.53,2.251817637886861,7.188563098157842,0.15,0.6824325457215309,0.7550000000000001,284
ppo,ppo_05,100000,64,0.0,0.95,0.99,0.0003,4,10,512,5,-5.812481303045238,14.889820625566172,0.3,0.6783795207738876,0.5475000000000001,4.526627092540197,7.3963958812754536,0.2,0.751456905901432,0.7350000000000001,344
ppo,ppo_06,100000,64,0.01,0.95,0.99,0.001,4,10,256,6,-9.875240739998723,13.173982143510967,0.2,0.6415219083428383,0.5425000000000001,0.43869779757039096,9.981665002830482,0.25,0.6982118472456932,0.7725000000000001,248
ppo,ppo_07,100000,64,0.05,0.95,0.99,0.001,4,10,256,7,-10.527465265306326,12.15281017200391,0.15,0.6326616659760476,0.7800000000000001,1.8271092621842513,10.527496617153293,0.35,0.7031407713890075,0.9850000000000001,291
ppo,ppo_08,100000,64,0.0,0.95,0.99,0.001,4,10,256,8,-11.807776393613299,12.688030644356182,0.1,0.5904624685645103,0.5625,-1.2011759222647977,8.131970791051916,0.05,0.7149007186293602,0.7550000000000001,441
ppo,ppo_09,100000,64,0.01,0.95,0.99,0.001,4,10,512,9,-9.966708640535817,12.510063488795204,0.1,0.570472565293312,0.6150000000000002,4.067793650746358,9.414807736989916,0.3,0.7077224642038346,0.8725000000000002,272
