time/total_timesteps,rollout/ep_rew_mean,train/entropy,train/policy_loss,train/value_loss
300,-19.9688,2.1864,-4.8376,0.0
600,-19.0257,2.1808,-5.1467,0.0
900,-16.8887,2.1797,-4.139,0.0
1200,-15.7509,2.1785,-5.2588,0.0
1500,-16.6458,2.1809,-4.319,0.0
1800,-15.2261,2.1789,-1.9595,0.0
2100,-14.7541,2.1752,-3.8594,0.0
2400,-14.8136,2.1732,-4.329,0.0
2700,-14.5546,2.17,-5.708,0.0
3000,-15.1182,2.1668,-5.2221,0.0
3300,-15.0905,2.1674,-3.3424,0.0
3600,-14.9425,2.1653,-4.4446,0.0
3900,-15.3055,2.159,-4.9751,0.0
4200,-15.7216,2.1591,-5.4512,0.0
4500,-15.4227,2.1585,-2.1918,0.0
4800,-15.7255,2.1568,-5.039,0.0
5100,-15.663,2.1562,-3.4137,0.0
5400,-15.563,2.1512,-5.5684,0.0
5700,-15.1184,2.1513,-5.6702,0.0
6000,-14.8121,2.1533,-4.3525,0.0
6300,-14.9656,2.1509,-5.5524,0.0
6600,-14.6715,2.1505,-5.6232,0.0
6900,-14.8725,2.1448,-3.8222,0.0
7200,-14.9003,2.1423,-3.3493,0.0
7500,-14.8209,2.1358,-5.6398,0.0
7800,-14.8481,2.1404,-4.489,0.0
8100,-14.8322,2.1293,-6.1119,0.0
8400,-14.8601,2.1159,-4.6017,0.0
8700,-15.2075,2.1245,-5.7056,0.0
9000,-15.2721,2.1098,-5.1987,0.0
9300,-15.3309,2.0833,-4.38,0.0
9600,-15.6133,2.0803,-5.7844,0.0
9900,-15.9814,2.0478,-4.9435,0.0
10200,-16.2153,2.0497,-4.3879,0.0
10500,-16.5409,2.0489,-5.1179,0.0
10800,-16.6719,2.045,-4.9978,0.0
11100,-16.7285,2.0538,-3.0476,0.0
11400,-17.1128,2.0501,-4.2,0.0
11700,-17.2051,2.0386,-4.834,0.0
12000,-17.287,2.0294,-4.0429,0.0
12300,-17.5454,2.0318,-4.2916,0.0
12600,-17.5973,2.0173,-5.8765,0.0
12900,-17.7439,2.0404,-4.6672,0.0
13200,-17.6804,1.9958,-3.7476,0.0
13500,-17.5581,2.0279,-4.3423,0.0
13800,-17.5576,1.9854,-1.9122,0.0
14100,-17.5343,1.9987,-3.7979,0.0
14400,-17.6971,1.9906,-4.7968,0.0
14700,-17.7046,2.023,-4.0367,0.0
15000,-17.7033,2.0186,-3.5309,0.0
15300,-17.6107,2.0492,-3.9107,0.0
15600,-17.7587,2.0397,-4.9049,0.0
15900,-17.8306,2.0609,-4.6916,0.0
16200,-17.8305,2.0503,-4.0328,0.0
16500,-17.626,2.0643,-2.6124,0.0
16800,-17.6635,2.0593,-3.0065,0.0
17100,-17.8087,2.0571,-5.3673,0.0
17400,-17.9954,2.0345,-3.5701,0.0
17700,-18.1545,2.0523,-5.1004,0.0
18000,-18.0484,2.091,-3.9325,0.0
18300,-18.1798,2.0592,-5.1748,0.0
18600,-18.1011,2.0816,-4.5605,0.0
18900,-18.1747,2.0755,-4.9771,0.0
19200,-18.184,2.049,-4.7726,0.0
19500,-18.2989,2.0636,-4.4719,0.0
19800,-18.2009,2.0703,-3.6218,0.0
20100,-18.1756,2.0865,-4.5804,0.0
20400,-18.3208,2.0623,-3.1994,0.0
20700,-18.3339,2.0665,-4.2785,0.0
21000,-18.4864,2.0565,-3.5484,0.0
21300,-18.5054,2.0535,-4.4213,0.0
21600,-18.7514,2.0723,-5.3274,0.0
21900,-18.6175,2.0648,-2.7581,0.0
22200,-18.5081,2.0756,-3.0109,0.0
22500,-18.6402,2.0433,-3.1671,0.0
22800,-18.5898,2.0686,-2.6797,0.0
23100,-18.7136,2.0465,-4.2802,0.0
23400,-18.6481,2.0568,-2.7326,0.0
23700,-18.4777,2.0635,-6.0381,0.0
24000,-18.5345,2.0555,-5.365,0.0
24300,-18.5246,2.0441,-2.4475,0.0
24600,-18.2186,2.0396,-5.3091,0.0
24900,-17.9062,2.0492,-4.7165,0.0
25200,-17.6441,2.0345,-2.1928,0.0
25500,-17.4806,2.0218,-5.3057,0.0
25800,-17.3293,2.0402,-5.047,0.0
26100,-17.3145,2.0149,-3.5598,0.0
26400,-16.9032,2.0184,-4.1547,0.0
26700,-16.8231,1.9846,-3.788,0.0
27000,-16.6767,1.9695,-4.7617,0.0
27300,-16.391,1.9947,-5.229,0.0
27600,-16.3016,2.0245,-5.3568,0.0
27900,-16.1706,1.9764,-3.2578,0.0
28200,-16.0033,1.9919,-0.9602,0.0
28500,-16.1119,2.0553,-4.0209,0.0
28800,-16.0855,2.0486,-3.1267,0.0
29100,-16.0594,1.9981,-3.0536,0.0
29400,-15.7585,2.0602,-4.2845,0.0
29700,-15.6869,2.0403,-4.2631,0.0
30000,-15.6015,2.085,-3.8976,0.0
30300,-15.5416,2.0638,-2.4891,0.0
30600,-15.4561,2.0443,-4.2596,0.0
30900,-15.4776,2.0881,-4.0573,0.0
31200,-15.5369,2.0816,-3.5808,0.0
31500,-15.6662,2.0859,-4.2472,0.0
31800,-15.8509,2.0931,-4.9857,0.0
32100,-15.7682,2.1109,-6.0272,0.0
32400,-15.6842,2.1119,-4.4781,0.0
32700,-15.7317,2.1097,-5.0742,0.0
33000,-15.7453,2.1272,-5.4911,0.0
33300,-15.7198,2.1153,-5.1421,0.0
33600,-15.8062,2.1158,-2.8477,0.0
33900,-15.7064,2.1245,-4.2291,0.0
34200,-15.5772,2.1229,-5.3859,0.0
34500,-15.5328,2.0978,-6.148,0.0
34800,-15.5228,2.1076,-3.0089,0.0
35100,-15.6,2.1068,-6.0824,0.0
35400,-15.5646,2.0709,-4.1095,0.0
35700,-15.7866,2.0843,-4.7067,0.0
36000,-15.87,2.053,-4.9163,0.0
36300,-16.0684,2.0599,-4.8267,0.0
36600,-15.9885,2.0374,-5.5947,0.0
36900,-16.1823,2.0237,-5.7291,0.0
37200,-16.1951,1.9559,-4.2027,0.0
37500,-16.4205,1.9766,-4.7869,0.0
37800,-16.5546,1.9839,-3.6257,0.0
38100,-16.4133,1.997,-3.9818,0.0
38400,-16.6203,1.9738,-5.2087,0.0
38700,-16.647,2.0391,-4.5191,0.0
39000,-16.677,1.9957,-5.0131,0.0
39300,-16.7874,2.0297,-3.9872,0.0
39600,-17.0267,2.0001,-4.7268,0.0
39900,-17.1297,1.9925,-3.5866,0.0
40200,-17.3175,1.9051,-4.4836,0.0
40500,-17.4081,1.9624,-3.1924,0.0
40800,-17.6261,1.908,-4.8,0.0
41100,-17.645,1.8939,-5.2097,0.0
41400,-17.9866,1.9009,-3.6835,0.0
41700,-18.09,1.8674,-5.2935,0.0
42000,-18.3266,1.8828,-3.042,0.0
42300,-18.6754,1.7664,-3.6597,0.0
42600,-18.8275,1.8347,-3.8479,0.0
42900,-18.9924,1.8237,-4.7484,0.0
43200,-19.292,1.7748,-4.0298,0.0
43500,-19.4314,1.813,-4.7678,0.0
43800,-19.6274,1.8825,-3.6837,0.0
44100,-19.654,1.7864,-3.5734,0.0
44400,-19.7606,1.8108,-3.5194,0.0
44700,-19.8224,1.8119,-2.7013,0.0
45000,-20.0153,1.9258,-4.1923,0.0
45300,-20.2796,1.8602,-3.9506,0.0
45600,-20.1947,1.8969,-2.3416,0.0
45900,-20.255,1.9996,-4.4275,0.0
46200,-20.2809,1.9267,-4.9419,0.0
46500,-20.4752,2.0071,-4.122,0.0
46800,-20.4473,1.9837,-5.8764,0.0
47100,-20.6724,2.0484,-3.7553,0.0
47400,-20.7683,2.0728,-4.5131,0.0
47700,-20.7066,2.0663,-3.1999,0.0
48000,-20.7351,2.0596,-4.4017,0.0
48300,-20.8719,2.1122,-3.2643,0.0
48600,-20.8502,2.082,-2.6176,0.0
48900,-20.7889,2.0332,-4.8657,0.0
49200,-20.7726,2.0503,-4.1666,0.0
49500,-20.8549,2.0545,-3.7356,0.0
49800,-20.9152,2.0325,-2.4243,0.0
50100,-21.0373,2.0131,-4.518,0.0
50400,-20.9628,1.979,-4.3168,0.0
