episode,total_timesteps,reward
1,150,-14.1565
2,300,-13.9442
3,450,-18.2078
4,600,-21.0507
5,750,-24.1202
6,900,-1.364
7,1050,-19.6994
8,1200,-14.3181
9,1350,-13.9204
10,1500,-14.0218
11,1650,-20.74
12,1800,-11.6127
13,1950,-21.7341
14,2100,-13.7353
15,2250,-23.691
16,2400,-22.4975
17,2550,-24.9422
18,2700,-20.9721
19,2850,-6.3127
20,3000,-0.8769
21,3150,-16.6166
22,3300,-14.1209
23,3450,-6.6485
24,3600,-11.2091
25,3750,-21.9451
26,3900,-17.4074
27,4050,-23.507
28,4200,-19.3251
29,4350,-19.3019
30,4500,-10.1981
31,4650,-18.2731
32,4800,-3.5494
33,4950,-23.4664
34,5100,-17.209
35,5250,-19.2605
36,5400,-9.5191
37,5550,-14.8425
38,5700,-18.0653
39,5850,-15.4871
40,6000,-11.3158
41,6150,-9.7013
42,6300,-21.7756
43,6450,-13.9504
44,6600,-7.3993
45,6750,-20.6208
46,6900,-13.301
47,7050,-23.3719
48,7200,-24.7763
49,7350,-17.8128
50,7500,-5.8534
51,7650,-17.1689
52,7800,-14.6881
53,7950,-13.5895
54,8100,-10.4834
55,8250,-19.7555
56,8400,-21.5071
57,8550,-13.4892
58,8700,-4.4209
59,8850,-9.6378
60,9000,-9.1796
61,9150,-14.1736
62,9300,-7.5577
63,9450,-16.4853
64,9600,-10.2211
65,9750,-16.8031
66,9900,-12.9304
67,10050,-19.8399
68,10200,-21.6238
69,10350,-10.1134
70,10500,-10.1738
71,10650,-17.3815
72,10800,-5.5077
73,10950,-16.3491
74,11100,-16.3748
75,11250,-17.6212
76,11400,-18.2665
77,11550,-13.1473
78,11700,-3.5242
79,11850,-16.911
80,12000,-19.9619
81,12150,-23.2286
82,12300,-14.3973
83,12450,-13.2723
84,12600,-21.2237
85,12750,-4.1437
86,12900,-11.7341
87,13050,-6.2132
88,13200,-2.2986
89,13350,-16.2789
90,13500,-8.5124
91,13650,-19.4965
92,13800,-21.4142
93,13950,-9.9429
94,14100,-13.7533
95,14250,-8.3655
96,14400,-7.5854
97,14550,-12.2807
98,14700,-12.8117
99,14850,-13.7462
100,15000,-17.5722
101,15150,-22.5455
102,15300,-25.9966
103,15450,-17.9243
104,15600,-18.7566
105,15750,-10.7807
106,15900,-10.5195
107,16050,-21.9043
108,16200,-13.5077
109,16350,-15.4742
110,16500,-16.7556
111,16650,-26.6556
112,16800,-11.0816
113,16950,-18.9074
114,17100,-18.279
115,17250,-18.5682
116,17400,-11.5471
117,17550,-18.6613
118,17700,-26.3621
119,17850,-23.3602
120,18000,-23.643
121,18150,-14.8563
122,18300,-24.564
123,18450,-7.7307
124,18600,-1.7617
125,18750,-21.2658
