algo,run_id,total_steps,hp_baseline,hp_ent_coef,hp_gamma,hp_hidden_sizes,hp_learning_rate,hp_seed,mean_reward,std_reward,success_rate,mean_final_health,water_used,mean_reward_stochastic,std_reward_stochastic,success_rate_stochastic,mean_final_health_stochastic,water_used_stochastic,episodes_to_converge
reinforce,reinforce_01,100000,mean,0.01,0.99,"[128, 128]",0.001,1,-16.136756668871225,4.219134973685621,0.0,0.45269948691129686,0.0,-3.2524778857355963,4.018297689462189,0.0,0.5414631493389607,0.6275000000000001,667
reinforce,reinforce_00,100000,none,0.01,0.99,"[128, 128]",0.001,0,-16.81386437015763,0.5941232288925836,0.0,0.4390647903084755,0.0,-16.66615251231523,0.7028080869871206,0.0,0.4396981254220009,0.0025,1
reinforce,reinforce_03,100000,none,0.01,0.995,"[128, 128]",0.001,3,-10.51664086959914,2.2108433904687534,0.0,0.44826978370547294,0.16250000000000003,-3.3882974137176767,3.354278419852503,0.0,0.482858008146286,0.345,1
reinforce,reinforce_02,100000,value,0.01,0.99,"[128, 128]",0.001,2,-13.312512887892344,3.1715306584639054,0.0,0.4490270085632801,0.0,-3.769636641847344,2.9516054155627147,0.0,0.5119909748435021,0.8125000000000002,1
reinforce,reinforce_04,100000,mean,0.01,0.995,"[128, 128]",0.001,4,-13.977048644012527,3.494440618726446,0.0,0.4390916481614113,0.7025000000000001,-5.578107265269695,3.104692579523264,0.0,0.4626390404999256,1.0150000000000001,1
reinforce,reinforce_06,100000,none,0.01,0.99,"[128, 128]",0.0005,6,-16.28003613566986,0.8586694234938541,0.0,0.4391101598739624,0.0,-1.097524125804877,3.418804348656064,0.0,0.5309039071202278,0.9,1
reinforce,reinforce_07,100000,mean,0.01,0.99,"[128, 128]",0.0005,7,-21.058825876538787,3.140901826703541,0.0,0.44436260163784025,0.0,-7.560018588875484,3.0419946833577125,0.0,0.5132734522223472,0.8900000000000002,667
reinforce,reinforce_09,100000,none,0.01,0.995,"[128, 128]",0.0005,9,-16.394082032259327,1.6167340314742042,0.0,0.4487433649599552,0.0,-3.359411497458537,2.9528408099543104,0.0,0.5161715343594551,0.645,261
reinforce,reinforce_05,100000,value,0.01,0.995,"[128, 128]",0.001,5,-17.550432176885675,2.930640272494776,0.0,0.4500220887362957,0.25000000000000006,-4.227223993392724,4.085403535306116,0.0,0.5104081138968468,0.9775000000000003,667
reinforce,reinforce_08,100000,value,0.01,0.99,"[128, 128]",0.0005,8,-16.143647888412637,1.866646165163746,0.0,0.45269385576248167,0.0,-1.8019081224979225,3.4008371427256305,0.0,0.5458568006753921,0.9000000000000004,1
